year,treat,species,n,av.n,sd.n,av.lig,sd.lig,av.cel,sd.cel
1993,HL,ACRU,9,0.739,0.083,22.996,2.124,36.987,1.336
1993,HL,QUVE,9,0.921,0.124,31.886,0.706,42.537,1.467
1993,HNS,ACRU,9,0.897,0.07,26.076,1.621,33.391,1.817
1993,HNS,QUVE,9,0.946,0.152,31.949,1.354,42.442,1.143
1993,PC,PIRE-B,8,0.603,0.083,31.904,0.606,42.693,0.796
1993,PC,PIRE-G,8,1.313,0.058,31.491,0.465,39.23,1.019
1993,PH,PIRE-B,8,1.155,0.061,30.128,1.373,42.163,1.513
1993,PH,PIRE-G,7,1.844,0.121,31.141,0.998,40.836,1.459
1993,PL,PIRE-B,9,0.789,0.078,31.233,0.974,42.798,0.92
1993,PL,PIRE-G,7,1.553,0.043,31.444,0.489,40.773,1.842
1993,PNS,PIRE-B,9,0.766,0.117,30.332,1.632,42.419,1.214
1993,PNS,PIRE-G,4,1.545,0.052,31.2,0.741,41.18,3.284
1994,HC,ACRU,9,0.789,0.174,19.607,2.706,34.853,1.594
1994,HC,QUVE,9,0.891,0.119,31.043,0.932,43.772,0.887
1994,HH,ACRU,9,1.05,0.185,23.111,2.326,38.273,1.722
1994,HH,QUVE,9,1.103,0.099,32.976,0.759,43.299,0.752
1994,HL,ACRU,9,0.852,0.203,21.65,1.841,38.134,1.81
1994,HL,QUVE,9,0.934,0.091,30.684,1.08,43.903,1.21
1994,HNS,ACRU,8,0.689,0.044,20.45,0.992,35.661,2.156
1994,HNS,QUVE,9,0.827,0.063,31.579,0.734,44.108,0.851
1994,PC,PIRE-B,9,0.549,0.156,31.844,1.094,42.974,0.758
1994,PC,PIRE-G,9,1.344,0.058,30.599,0.961,38.813,1.256
1994,PH,PIRE-B,9,1.114,0.091,32.313,0.506,44.352,0.59
1994,PH,PIRE-G,9,1.963,0.129,30.148,0.736,40.424,1.024
1994,PL,PIRE-B,9,0.718,0.062,31.847,0.755,44.104,0.232
1994,PL,PIRE-G,9,1.497,0.085,30.348,1.093,40.626,1.5
1994,PNS,PIRE-B,9,0.694,0.067,32.374,0.953,44.121,0.61
1994,PNS,PIRE-G,8,1.489,0.068,30.864,0.763,40.111,1.502
1995,HC,ACRU,8,0.934,0.087,26.516,1.509,38.214,2.455
1995,HC,QUVE,9,0.943,0.113,33.762,1.176,44.059,1.017
1995,HH,ACRU,9,1.7,0.179,31.246,1.259,43.124,1.752
1995,HH,QUVE,9,1.257,0.157,35.191,0.648,43.79,0.959
1995,HL,ACRU,9,0.896,0.186,24.924,1.557,42.619,1.038
1995,HL,QUVE,9,0.973,0.141,33.937,0.872,44.524,0.482
1995,HNS,ACRU,9,0.924,0.078,25.657,1.541,37.774,1.633
1995,HNS,QUVE,9,0.966,0.156,33.458,1.374,43.681,1.33
1995,PC,PIRE-B,9,0.433,0.12,28.387,0.932,43.513,0.533
1995,PC,PIRE-G,9,1.354,0.082,30.429,0.997,40.559,1.27
1995,PH,PIRE-B,9,1.33,0.216,29.734,1.059,42.648,0.81
1995,PH,PIRE-G,9,2.059,0.141,30.271,0.969,39.447,1.487
1995,PL,PIRE-B,9,0.866,0.172,30.45,0.915,44.763,0.991
1995,PL,PIRE-G,9,1.61,0.089,30.788,0.823,41.091,1.377
1995,PNS,PIRE-B,9,0.641,0.14,28.779,0.895,44.26,0.668
1995,PNS,PIRE-G,9,1.586,0.113,30.789,0.521,40.988,0.468
1996,HC,ACRU,8,0.831,0.086,23.958,2.163,36.106,2.154
1996,HC,QUVE,9,1.103,0.197,35.038,0.766,44.017,1.08
1996,HH,ACRU,9,1.662,0.197,31.696,2.217,40.258,2.11
1996,HH,QUVE,9,1.419,0.153,36.869,1.087,43.196,1.094
1996,HL,ACRU,9,0.963,0.193,24.779,2.196,38.162,2.069
1996,HL,QUVE,9,1.227,0.121,35.181,1.421,43.747,1.258
1996,HNS,ACRU,9,0.994,0.082,28.741,2.256,34.843,1.56
1996,HNS,QUVE,9,1.02,0.134,35.971,1.137,44.424,1.89
1996,PC,PIRE-B,9,0.738,0.139,30.42,4.618,42.322,1.284
1996,PC,PIRE-G,9,1.393,0.047,30.818,0.498,38.35,0.701
1996,PH,PIRE-B,9,1.523,0.14,31.628,0.66,43.364,1.108
1996,PH,PIRE-G,9,2.011,0.105,30.948,0.559,39.239,1.165
1996,PL,PIRE-B,9,1.159,0.135,32.411,0.881,43.98,0.572
1996,PL,PIRE-G,9,1.693,0.064,31.677,0.481,40.047,0.837
1996,PNS,PIRE-B,9,1.003,0.106,32.347,0.773,44.374,0.447
1996,PNS,PIRE-G,9,1.613,0.107,32.038,0.239,41.982,1.041
1997,HC,ACRU,9,0.54,0.15,19.13,3.29,35.43,1.41
1997,HC,QUVE,9,0.82,0.12,32.37,1.08,46.51,0.68
1997,HH,ACRU,8,1.13,0.19,23.31,2.59,36.67,2
1997,HH,QUVE,9,1.37,0.17,34.21,1.26,42.64,0.92
1997,HL,ACRU,9,0.66,0.13,20.21,2.03,37.64,1.53
1997,HL,QUVE,9,1.14,0.13,33.05,1.18,43.8,1.01
1997,HS,ACRU,9,0.61,0.04,17.95,2.04,34.19,1.86
1997,HS,QUVE,9,0.86,0.11,31.44,1.1,41.55,1.24
1997,PC,ACRU,3,0.72,0.15,22.07,2.21,42.75,1.89
1997,PC,PIRE-B,9,0.59,0.15,28.76,0.91,42.17,1.76
1997,PC,PIRE-G,9,1.4,0.09,30.4,0.94,40.51,0.97
1997,PC,QUVE,5,1.02,0.13,31.88,1.41,48.08,2.18
1997,PH,ACRU,3,1.23,0.06,16.31,1.88,34.9,1.27
1997,PH,PIRE-B,9,1.42,0.18,29.6,0.58,42.98,0.8
1997,PH,PIRE-G,9,2.19,0.13,30.36,0.41,38.95,1.54
1997,PH,QUVE,1,1.06,NA,32.07,NA,47.25,NA
1997,PL,PIRE-B,9,0.93,0.15,29.42,0.53,42.61,1.01
1997,PL,PIRE-G,9,1.72,0.14,31.17,0.65,41.05,1.33
1997,PS,ACRU,4,0.9,0.23,21.2,3,43.73,1.97
1997,PS,PIRE-B,9,0.94,0.21,29.48,1.07,43,1.36
1997,PS,PIRE-G,9,1.68,0.06,30.83,0.58,40.67,0.73
1998,HC,ACRU,9,1.04,0.09,27.08,1.31,37.13,2.11
1998,HC,QUVE,9,0.78,0.04,31.18,0.81,41.63,0.69
1998,HH,ACRU,8,1.6,0.35,29.29,3.04,39.1,2.84
1998,HH,QUVE,9,1.26,0.1,33.02,0.83,41.18,1.01
1998,HL,ACRU,9,1.16,0.15,27.23,2.23,38.59,1.73
1998,HL,QUVE,9,0.94,0.14,31.13,1.17,42.34,1.06
1998,HNS,ACRU,9,1.07,0.09,26.68,1.76,33.78,2.39
1998,HNS,QUVE,9,0.86,0.07,31.71,0.57,41.14,1.16
1998,PC,ACRU,3,1.09,0.1,25.92,2.25,42.42,1.9
1998,PC,PIRE-B,9,0.6,0.08,29.47,0.48,41.05,0.45
1998,PC,PIRE-G,9,1.4,0.04,32.18,0.78,38.49,1.01
1998,PC,QUVE,7,0.93,0.26,30.7,1.62,44.5,3.51
1998,PH,ACRU,4,1.91,0.38,27.4,4.02,39.75,1.69
1998,PH,PIRE-B,9,1.33,0.2,30.28,0.32,41.65,0.54
1998,PH,PIRE-G,9,2.08,0.09,30.14,0.78,36.88,1.87
1998,PL,PIRE-B,9,0.86,0.14,30.12,0.57,42.36,0.47
1998,PL,PIRE-G,9,1.74,0.1,31.61,1.04,38.95,1.05
1998,PL,QUVE,1,0.73,NA,32.6,NA,38.18,NA
1998,PNS,ACRU,4,1.33,0.08,26.68,1.58,44.29,1.33
1998,PNS,PIRE-B,9,0.81,0.17,29.8,0.71,42.57,0.8
1998,PNS,PIRE-G,9,1.82,0.08,32.22,1.03,39.15,1.46
1999,HC,ACRU,9,0.83,0.15,23,0.66,33.17,1.37
1999,HC,QUVE,9,0.92,0.1,32.05,1.22,43.87,0.92
1999,HH,ACRU,9,1.39,0.2,27.76,1.43,36.93,1.55
1999,HH,QUVE,9,1.51,0.29,35.36,1.87,43.18,1.57
1999,HL,ACRU,9,0.99,0.17,26.05,1.58,36.38,1.33
1999,HL,QUVE,9,0.97,0.14,33.06,1.49,43.35,1.29
1999,HNS,ACRU,9,0.92,0.07,24.82,1.39,32.74,1.68
1999,HNS,QUVE,9,1.01,0.16,32.89,0.73,43.53,0.88
1999,PC,ACRU,3,0.82,0.15,23.61,0.85,41.36,4.66
1999,PC,PIRE-B,9,0.8,0.15,30.1,0.8,41.43,0.72
1999,PC,PIRE-G,9,1.26,0.1,29.62,0.95,36.66,0.49
1999,PC,QUVE,7,1.11,0.2,30.78,1.96,47.08,2.24
1999,PH,ACRU,4,1.69,0.15,26.02,2.75,37.66,3.05
1999,PH,PIRE-B,9,1.45,0.22,31.23,0.36,42.85,0.55
1999,PH,PIRE-G,9,1.98,0.16,30.19,0.67,37.77,2.01
1999,PL,PIRE-B,9,0.94,0.1,30.58,0.52,43.15,0.56
1999,PL,PIRE-G,9,1.62,0.08,30.33,0.3,38.46,2.27
1999,PNS,ACRU,4,1.02,0.17,22.75,2.32,39.49,0.94
1999,PNS,PIRE-B,9,0.92,0.1,30.68,0.69,42.72,0.95
1999,PNS,PIRE-G,9,1.58,0.13,30.78,0.5,38.26,0.7
2002,HC,ACRU,12,0.85,0.08,22.86,1.35,32.07,2.42
2002,HC,QUVE,10,1.2,0.11,33.04,0.8,40.65,0.87
2002,HH,ACRU,8,1.38,0.22,26.94,1.35,36.17,3.62
2002,HH,PIRE-G,1,1.71,NA,30.7,NA,41.11,NA
2002,HH,QUVE,9,1.93,0.28,35.54,1.19,40.31,1.19
2002,HL,ACRU,6,1.22,0.09,26.48,1.09,35.93,1.34
2002,HL,QUVE,8,1.38,0.12,34.17,1.18,41.5,0.96
2002,HNS,ACRU,8,1.06,0.1,25.32,1.43,32.49,2.06
2002,HNS,QUVE,8,1.28,0.14,33.58,1.11,40.19,1.38
2002,PC,ACRU,3,1.04,0.1,23.79,0.32,43.34,4.34
2002,PC,PIRE-B,9,0.75,0.08,31.87,0.45,40.37,0.72
2002,PC,PIRE-G,9,1.4,0.09,31.65,0.63,36.85,1.66
2002,PC,QUVE,3,1.93,0.38,31.52,1.79,42.04,0.66
2002,PH,ACRU,3,1.64,0.47,29.36,2.94,38.55,0.85
2002,PH,PIRE-B,8,1.33,0.15,31.66,0.99,41.53,0.87
2002,PH,PIRE-G,4,1.84,0.1,30.81,0.41,37.16,0.81
2002,PL,ACRU,1,1.89,NA,28.83,NA,47.4,NA
2002,PL,PIRE-B,10,1.04,0.06,32.55,0.66,42.48,0.72
2002,PL,PIRE-G,9,1.77,0.11,31.85,0.78,38.66,0.83
2002,PS,ACRU,3,1.47,0.27,26.53,0.63,44.74,1.96
2002,PS,PIRE-B,8,1.01,0.1,31.77,0.52,42.4,0.73
2002,PS,PIRE-G,8,1.68,0.05,31.29,0.62,38.14,1.01
