PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
35b,7.1,22.1,70.8,10.4,11.7,14.6,22.8,19.8,10.2,3.4,6,0.4,0.4,0.2,0.1,1.1,42.5,2.6
35c,7.8,26.5,65.7,14.8,11.7,11.5,23.1,19.8,8.9,2.4,5.3,0.1,0.3,0.2,0.2,0.8,41.6,1.9
37a,8.3,31.1,60.6,15.6,15.5,11.8,18.8,14.9,9.4,5.7,4,0.3,0.2,0.1,0.1,0.7,33.3,2.1
37b,9.4,31.7,58.9,17.3,14.5,9.8,16.6,17.2,10.5,4.8,2.9,0.8,0.3,0.2,0.1,1.4,27,5.2
37c,6.5,32.8,60.7,16.9,15.9,11.5,18.4,15,10.3,5.5,5.1,0.4,0.3,0.1,0.1,0.9,33.4,2.7
38a,7.3,26,66.7,15.4,10.6,9.4,18.6,18.1,10.5,10.1,7.1,-1,0.3,0.2,0.2,0.7,51.7,1.4
38b,6.7,33.3,60,17.2,16.1,11.1,18.8,16.2,9.9,4,3.8,0.1,0.2,0.2,0.1,0.6,25.4,2.4
38c,7.8,26.3,65.9,12.7,13.6,12.1,20.8,19.2,9.7,4.1,3.3,0.2,0.2,0.1,0.2,0.7,25.6,2.7
39a,7.8,33.2,59,16.8,16.4,12.2,18.8,15.3,9,3.7,2.9,0.1,0.1,0.1,0.1,0.4,22.7,1.8
39b,7.4,32.4,60.2,15.5,16.9,13.3,20.3,14.6,8.2,3.8,2.9,0.1,0.1,0.1,0.1,0.4,21.3,1.9
39c,7,30.9,62.1,14.9,16,11.7,18.4,14.4,9.5,8.1,1.7,0.1,0.1,0.1,0.1,0.4,12.1,3.3
3a,0.6,15.3,84.1,7.3,8,11.3,26.7,25.1,15.6,5.4,41.7,-1,0.2,0.2,0.1,0.5,25,2
3b,3.6,24.2,72.2,13.2,11,11.2,23.3,20.7,12.1,4.9,7,0.1,0.1,0.1,-1,0.3,25.3,1.2
3c,2.4,34.5,63.1,16.2,18.3,13.3,18.5,16,10.6,4.7,10.3,-1,0.1,0.1,-1,0.2,24.6,0.8
