PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
78c,7,27.3,65.7,15,12.3,12.9,21,17,9.1,5.7,2.5,0.5,0.2,0.1,0.2,1,17.8,5.6
80a,8.5,32.4,59.1,17.3,15.2,9.3,16.9,16.7,10.6,5.6,3,0.1,0.2,0.1,0.1,0.5,25.4,2
80b,5,27.9,67.1,15.7,12.2,11.8,18.8,18.1,11,7.4,1.7,0.2,0.1,0.1,-1,0.4,8.4,4.8
80c,4.4,30.3,65.3,15,15.3,11.9,19,16.7,11.4,6.3,2.5,0.2,0.1,0.2,0.1,0.6,11,5.5
81a,7.6,37.1,55.3,21.5,15.6,10,16.9,15.6,9.1,3.7,2.6,0.2,0.2,0.1,0.1,0.6,19.8,3
81b,11,32,57,17,15,11.1,18,14.9,9.3,3.7,1.4,0.4,0.2,-1,0.2,0.8,15.2,5.3
81c,8.5,29.2,62.3,16.1,13.1,12.9,18.6,15.6,9.1,6.1,1.7,0.3,0.2,-1,0.1,0.6,14,4.3
82a,8.5,25.8,65.7,14.2,11.6,11.1,19.7,16.8,10.2,7.9,1.6,0.3,0.1,-1,0.1,0.5,13.5,3.7
82b,10.5,47,42.5,25.4,21.6,8.8,11.7,10.1,7.4,4.5,2.6,0.4,0.3,-1,0.2,0.9,27.3,3.3
82c,10.9,34.3,54.8,17.5,16.8,10.1,16.1,14.9,8.4,5.3,1.7,0.3,0.2,-1,0.1,0.6,18.7,3.2
84a,12.6,31.4,56,16.3,15.1,11.2,18.3,14.5,7.4,4.6,1.6,0.3,0.2,-1,0.1,0.6,19.9,3
84b,7,34.9,58.1,19.6,15.3,11.1,19.8,16.7,7.5,3,2.2,0.4,0.2,-1,0.1,0.7,15.3,4.6
84c,7.5,27.3,65.2,14.4,12.9,11.7,24.2,17,7.7,4.6,2.8,0.3,0.2,-1,0.1,0.6,20.8,2.9
86c,6.8,28.6,64.6,15,13.6,10.8,19.1,16.7,11.1,6.9,1.8,0.5,0.3,-1,0.1,0.9,12,7.5
87a,7.2,31.6,61.2,16.1,15.5,12.3,17.5,16,10.4,5,1.9,0.3,0.2,-1,0.1,0.6,13.6,4.4
87b,7.6,36.1,56.3,19,17.1,11.3,16.7,15.1,9,4.2,1.6,0.3,0.2,-1,0.1,0.6,12,5
87c,7.2,31.8,61,17,14.8,11.5,18.4,15.4,10.1,5.6,1.7,0.3,0.3,-1,0.1,0.7,12.5,5.6
88a,6.1,29.8,64.1,14.5,15.3,11.6,19.7,16.8,11.5,4.5,2.8,0.3,0.3,-1,0.1,0.7,16.8,4.2
88b,8.8,42.1,49.1,21.4,20.7,11.6,14.6,10.6,7,5.3,1.4,0.5,0.3,-1,0.2,1,12.6,7.9
88c,6.1,43.1,50.8,20.6,22.5,11.6,13.1,11.5,8.1,6.5,1.5,0.4,0.3,-1,0.1,0.8,9.1,8.8
89a,7.8,36.1,56.1,16.1,20,12.3,14.8,14.5,10.1,4.4,2.4,0.5,0.4,0.1,0.2,1.2,18.9,6.4
89b,9.4,39.8,50.8,17.5,22.3,12.5,14.4,12.6,7.6,3.7,3.1,0.3,0.1,-1,0.2,0.6,28.9,2.1
89c,5.6,51.1,43.3,22.2,28.9,14.2,10.6,8.5,6.5,3.5,3.5,0.2,0.1,-1,0.1,0.4,19.3,2.1
8a,8.3,31.4,60.3,16.6,14.8,9.5,15,18.6,12.5,4.7,2.4,0.5,0.2,0.1,0.1,0.9,19.9,4.5
8b,5.8,31.1,63.1,16.2,14.9,10.9,18.3,17.2,10.7,6,3.1,0.4,0.1,0.1,0.1,0.7,17.8,3.9
8c,5.9,35.6,58.5,17.7,17.9,10,14.8,18.1,10.8,4.8,2.9,0.3,0.1,0.1,0.1,0.6,17,3.5
90a,7.3,33.8,58.9,16.2,17.6,12.6,16.9,14.6,9.3,5.5,2.5,0.6,0.2,0.1,0.2,1.1,18.4,6
90b,4.3,27.7,68,12.9,14.8,12.2,21.7,18.5,10.2,5.4,4.2,0.5,0.2,0.1,0.1,0.9,18,5
90c,12.5,55.9,31.6,29.9,26,8.2,9.2,7.9,4.3,2,2.1,1,0.2,0.1,0.2,1.5,26.8,5.6
91a,5.8,31.2,63,16.8,14.4,12.3,19.9,15,9,6.8,2,0.3,0.1,0.1,0.1,0.6,11.5,5.2
91b,8.1,29.5,62.4,16,13.5,13.1,19.9,15.5,8.9,5,1.8,0.2,0.1,-1,0.1,0.4,14.2,2.8
91c,6.1,30.1,63.8,16.5,13.6,12.8,20.2,16.7,9.9,4.2,2.2,0.2,0.1,-1,0.1,0.4,13.4,3
92a,4.6,37.2,58.2,19,18.2,12,16.8,14.4,9.8,5.2,5.2,0.3,0.2,0.3,0.2,1,23.7,4.2
92b,6.2,29.7,64.1,15.4,14.3,11.3,18.7,16.1,11.7,6.3,2,0.3,0.2,0.3,0.1,0.9,12.6,7.1
92c,6.8,31.2,62,17,14.2,12.1,17.2,16.1,10.9,5.7,2,0.2,0.1,0.3,0.1,0.7,13.9,5
93a,8.9,31.3,59.8,15.5,15.8,11.7,16.9,14.7,10.6,5.9,1.5,0.3,0.1,0.2,0.1,0.7,13.4,5.2
93b,8.9,31,60.1,15.5,15.5,11.6,18.6,15,9.9,5,1.5,0.3,0.2,0.2,0.1,0.8,12.9,6.2
93c,7.7,28.4,63.9,13.9,14.5,11.2,19,16.9,11.7,5.1,1.6,0.3,0.2,0.2,0.1,0.8,12.2,6.6
94a,6.6,27.6,65.8,14.7,12.9,13.2,18.9,15.2,9.9,8.6,1.8,0.2,0.2,0.2,0.1,0.7,12,5.8
94b,9,34.8,56.2,17.3,17.5,10.8,17.3,14.1,7.3,6.7,2,0.2,0.2,0.3,0.1,0.8,18.3,4.4
94c,8.7,34.6,56.7,18,16.6,11.2,17.7,13.3,8.1,6.4,1.8,0.3,0.2,0.2,0.2,0.9,15.9,5.7
95a,1.8,19.6,78.6,7.5,12.1,15,31.4,24,6.6,1.6,9.7,0.3,0.2,0.2,0.1,0.8,17.4,4.6
95b,7.1,25.6,67.3,12.9,12.7,9.7,19.1,20.5,11.6,6.4,2,0.2,0.2,0.2,0.1,0.7,14.5,4.8
95c,7.5,32.7,59.8,15.8,16.9,9.2,17,16.9,11.2,5.5,1.9,0.3,0.1,0.1,0.1,0.6,14.2,4.2
96a,4.2,33,62.8,17.6,15.4,8.2,21.8,21.5,7.8,3.5,2.4,0.3,-1,0.1,-1,0.5,10,5
96b,5.2,37.3,57.5,16.3,21,12.5,17.4,16.3,8.1,3.2,4.7,0.6,0.1,0.1,-1,0.8,24.3,3.3
97a,14.2,32.5,53.3,20.2,12.3,8.9,16.7,16.1,8.3,3.3,2.9,3.5,0.6,0.1,0.2,4.4,40.6,10.8
97b,5.9,29.3,64.8,14,15.3,10.4,18.3,20,11.5,4.6,6.5,0.4,0.2,-1,0.1,0.8,38.2,2.1
97c,7.6,34.5,57.9,15.5,19,10.4,15.3,15.1,11.6,5.5,3.8,0.4,0.2,0.1,0.1,0.8,28.7,2.8
98a,7.6,30,62.4,15.5,14.5,11.4,17,16.9,11,6.1,2,0.3,0.2,0.1,0.1,0.7,15.4,4.5
98b,7.2,31.1,61.7,16.3,14.8,11.4,17.1,15.3,12,5.9,2.2,0.3,0.1,0.1,0.1,0.6,16.1,3.7
98c,10.3,48.1,41.6,26.1,22,10.6,11.3,9.3,6.6,3.8,1.9,0.5,0.2,0.1,0.2,1,19.5,5.1
99a,7.3,36.6,56.1,18.8,17.8,9.9,17.6,16.3,8,4.3,3.3,0.3,0.2,0.1,0.1,0.7,24.1,2.9
99b,5.6,25.3,69.1,12.7,12.6,12.9,21.1,18.6,11.1,5.4,3.1,0.3,0.2,-1,0.1,0.6,17.3,3.5
99c,8.5,29,62.5,16.2,12.8,9.8,19.2,17.2,10.9,5.4,4.5,0.3,0.3,-1,0.2,0.8,38.3,2.1
9a,5.1,39,55.9,20,19,14.3,18.8,14.3,6.4,2.1,4,0.4,0.1,0.1,0.1,0.7,20.5,3.4
9b,4.6,25.8,69.6,14.5,11.3,12.5,19.4,18.5,12.3,6.9,4.3,0.4,0.2,0.3,0.1,1,19.8,5.1
