case,year,plot,species,pres.abs
46,1991,J,AMBR,0
47,1991,K,AMBR,0
48,1991,L,AMBR,0
49,1991,M,AMBR,0
50,1991,N,AMBR,0
1,1937,C,ANQU,0
2,1937,E,ANQU,0
3,1937,F,ANQU,0
4,1937,G,ANQU,0
5,1937,H,ANQU,0
6,1937,I,ANQU,0
7,1937,J,ANQU,0
8,1937,K,ANQU,0
9,1937,L,ANQU,0
10,1937,M,ANQU,0
11,1937,N,ANQU,0
12,1940,B,ANQU,0
13,1940,C,ANQU,0
14,1940,D,ANQU,0
15,1940,E,ANQU,0
16,1940,F,ANQU,0
17,1940,G,ANQU,0
18,1940,H,ANQU,0
19,1940,I,ANQU,0
20,1940,J,ANQU,0
21,1940,K,ANQU,0
22,1940,L,ANQU,0
23,1940,M,ANQU,0
24,1940,N,ANQU,0
25,1948,B,ANQU,0
26,1948,C,ANQU,0
27,1948,D,ANQU,0
28,1948,E,ANQU,0
29,1948,F,ANQU,0
30,1948,G,ANQU,0
31,1948,H,ANQU,0
32,1948,I,ANQU,0
33,1948,J,ANQU,0
34,1948,K,ANQU,0
35,1948,L,ANQU,0
36,1948,M,ANQU,0
37,1948,N,ANQU,0
38,1991,B,ANQU,0
39,1991,C,ANQU,0
40,1991,D,ANQU,0
41,1991,E,ANQU,0
42,1991,F,ANQU,0
43,1991,G,ANQU,0
44,1991,H,ANQU,0
45,1991,I,ANQU,0
46,1991,J,ANQU,0
47,1991,K,ANQU,0
48,1991,L,ANQU,1
49,1991,M,ANQU,0
50,1991,N,ANQU,0
1,1937,C,ANSPP,0
2,1937,E,ANSPP,0
3,1937,F,ANSPP,0
4,1937,G,ANSPP,0
5,1937,H,ANSPP,0
6,1937,I,ANSPP,0
7,1937,J,ANSPP,0
8,1937,K,ANSPP,0
9,1937,L,ANSPP,0
10,1937,M,ANSPP,0
11,1937,N,ANSPP,0
12,1940,B,ANSPP,0
13,1940,C,ANSPP,0
14,1940,D,ANSPP,0
15,1940,E,ANSPP,0
16,1940,F,ANSPP,0
17,1940,G,ANSPP,0
18,1940,H,ANSPP,0
19,1940,I,ANSPP,0
20,1940,J,ANSPP,0
21,1940,K,ANSPP,0
22,1940,L,ANSPP,0
23,1940,M,ANSPP,0
24,1940,N,ANSPP,0
25,1948,B,ANSPP,0
26,1948,C,ANSPP,0
27,1948,D,ANSPP,0
28,1948,E,ANSPP,0
29,1948,F,ANSPP,1
30,1948,G,ANSPP,0
31,1948,H,ANSPP,0
32,1948,I,ANSPP,0
33,1948,J,ANSPP,0
34,1948,K,ANSPP,0
35,1948,L,ANSPP,0
36,1948,M,ANSPP,0
37,1948,N,ANSPP,0
38,1991,B,ANSPP,0
39,1991,C,ANSPP,0
40,1991,D,ANSPP,0
41,1991,E,ANSPP,0
42,1991,F,ANSPP,0
43,1991,G,ANSPP,0
44,1991,H,ANSPP,0
45,1991,I,ANSPP,0
46,1991,J,ANSPP,0
47,1991,K,ANSPP,0
48,1991,L,ANSPP,0
49,1991,M,ANSPP,0
50,1991,N,ANSPP,0
1,1937,C,ARHI,0
2,1937,E,ARHI,0
3,1937,F,ARHI,0
4,1937,G,ARHI,0
5,1937,H,ARHI,0
6,1937,I,ARHI,0
7,1937,J,ARHI,0
8,1937,K,ARHI,0
9,1937,L,ARHI,0
10,1937,M,ARHI,0
11,1937,N,ARHI,0
12,1940,B,ARHI,0
13,1940,C,ARHI,1
14,1940,D,ARHI,1
15,1940,E,ARHI,0
16,1940,F,ARHI,0
17,1940,G,ARHI,0
18,1940,H,ARHI,0
19,1940,I,ARHI,0
20,1940,J,ARHI,0
21,1940,K,ARHI,0
22,1940,L,ARHI,1
23,1940,M,ARHI,0
24,1940,N,ARHI,1
25,1948,B,ARHI,0
26,1948,C,ARHI,1
27,1948,D,ARHI,0
28,1948,E,ARHI,1
29,1948,F,ARHI,0
30,1948,G,ARHI,0
31,1948,H,ARHI,0
32,1948,I,ARHI,0
33,1948,J,ARHI,0
34,1948,K,ARHI,0
35,1948,L,ARHI,0
36,1948,M,ARHI,0
37,1948,N,ARHI,1
38,1991,B,ARHI,0
39,1991,C,ARHI,0
40,1991,D,ARHI,0
41,1991,E,ARHI,0
42,1991,F,ARHI,0
43,1991,G,ARHI,0
44,1991,H,ARHI,0
45,1991,I,ARHI,0
46,1991,J,ARHI,0
47,1991,K,ARHI,0
48,1991,L,ARHI,0
49,1991,M,ARHI,0
50,1991,N,ARHI,0
1,1937,C,ARNU,0
2,1937,E,ARNU,0
3,1937,F,ARNU,0
4,1937,G,ARNU,0
5,1937,H,ARNU,0
6,1937,I,ARNU,0
7,1937,J,ARNU,0
8,1937,K,ARNU,1
9,1937,L,ARNU,1
10,1937,M,ARNU,0
11,1937,N,ARNU,0
12,1940,B,ARNU,0
13,1940,C,ARNU,1
14,1940,D,ARNU,1
15,1940,E,ARNU,1
16,1940,F,ARNU,0
17,1940,G,ARNU,0
18,1940,H,ARNU,0
19,1940,I,ARNU,0
20,1940,J,ARNU,1
21,1940,K,ARNU,1
22,1940,L,ARNU,1
23,1940,M,ARNU,0
24,1940,N,ARNU,0
25,1948,B,ARNU,0
26,1948,C,ARNU,0
27,1948,D,ARNU,1
28,1948,E,ARNU,0
29,1948,F,ARNU,1
30,1948,G,ARNU,0
31,1948,H,ARNU,1
32,1948,I,ARNU,0
33,1948,J,ARNU,0
34,1948,K,ARNU,0
35,1948,L,ARNU,0
36,1948,M,ARNU,0
37,1948,N,ARNU,0
38,1991,B,ARNU,1
39,1991,C,ARNU,0
40,1991,D,ARNU,1
41,1991,E,ARNU,1
42,1991,F,ARNU,1
43,1991,G,ARNU,0
44,1991,H,ARNU,1
45,1991,I,ARNU,1
46,1991,J,ARNU,1
47,1991,K,ARNU,1
48,1991,L,ARNU,1
49,1991,M,ARNU,0
50,1991,N,ARNU,0
1,1937,C,ARAT,0
2,1937,E,ARAT,0
3,1937,F,ARAT,0
4,1937,G,ARAT,0
5,1937,H,ARAT,1
6,1937,I,ARAT,1
