case,year,plot,species,pres.abs
34,1948,K,COSPP,0
35,1948,L,COSPP,0
36,1948,M,COSPP,1
37,1948,N,COSPP,1
38,1991,B,COSPP,0
39,1991,C,COSPP,0
40,1991,D,COSPP,0
41,1991,E,COSPP,0
42,1991,F,COSPP,0
43,1991,G,COSPP,0
44,1991,H,COSPP,0
45,1991,I,COSPP,0
46,1991,J,COSPP,0
47,1991,K,COSPP,0
48,1991,L,COSPP,0
49,1991,M,COSPP,0
50,1991,N,COSPP,0
1,1937,C,COGR,0
2,1937,E,COGR,0
3,1937,F,COGR,0
4,1937,G,COGR,0
5,1937,H,COGR,0
6,1937,I,COGR,0
7,1937,J,COGR,0
8,1937,K,COGR,0
9,1937,L,COGR,0
10,1937,M,COGR,0
11,1937,N,COGR,0
12,1940,B,COGR,0
13,1940,C,COGR,0
14,1940,D,COGR,0
15,1940,E,COGR,0
16,1940,F,COGR,0
17,1940,G,COGR,0
18,1940,H,COGR,0
19,1940,I,COGR,0
20,1940,J,COGR,0
21,1940,K,COGR,0
22,1940,L,COGR,0
23,1940,M,COGR,0
24,1940,N,COGR,0
25,1948,B,COGR,0
26,1948,C,COGR,0
27,1948,D,COGR,0
28,1948,E,COGR,0
29,1948,F,COGR,0
30,1948,G,COGR,0
31,1948,H,COGR,0
32,1948,I,COGR,0
33,1948,J,COGR,0
34,1948,K,COGR,0
35,1948,L,COGR,0
36,1948,M,COGR,0
37,1948,N,COGR,0
38,1991,B,COGR,0
39,1991,C,COGR,0
40,1991,D,COGR,0
41,1991,E,COGR,0
42,1991,F,COGR,0
43,1991,G,COGR,0
44,1991,H,COGR,0
45,1991,I,COGR,0
46,1991,J,COGR,0
47,1991,K,COGR,0
48,1991,L,COGR,0
49,1991,M,COGR,1
50,1991,N,COGR,0
1,1937,C,COAL,0
2,1937,E,COAL,0
3,1937,F,COAL,0
4,1937,G,COAL,1
5,1937,H,COAL,1
6,1937,I,COAL,0
7,1937,J,COAL,0
8,1937,K,COAL,1
9,1937,L,COAL,1
10,1937,M,COAL,0
11,1937,N,COAL,0
12,1940,B,COAL,0
13,1940,C,COAL,0
14,1940,D,COAL,0
15,1940,E,COAL,0
16,1940,F,COAL,1
17,1940,G,COAL,1
18,1940,H,COAL,1
19,1940,I,COAL,0
20,1940,J,COAL,1
21,1940,K,COAL,0
22,1940,L,COAL,1
23,1940,M,COAL,0
24,1940,N,COAL,1
25,1948,B,COAL,0
26,1948,C,COAL,0
27,1948,D,COAL,0
28,1948,E,COAL,0
29,1948,F,COAL,1
30,1948,G,COAL,1
31,1948,H,COAL,1
32,1948,I,COAL,0
33,1948,J,COAL,1
34,1948,K,COAL,1
35,1948,L,COAL,1
36,1948,M,COAL,0
37,1948,N,COAL,0
38,1991,B,COAL,0
39,1991,C,COAL,0
40,1991,D,COAL,0
41,1991,E,COAL,0
42,1991,F,COAL,0
43,1991,G,COAL,0
44,1991,H,COAL,0
45,1991,I,COAL,1
46,1991,J,COAL,1
47,1991,K,COAL,0
48,1991,L,COAL,0
49,1991,M,COAL,0
50,1991,N,COAL,0
1,1937,C,COCA,0
2,1937,E,COCA,0
3,1937,F,COCA,0
4,1937,G,COCA,0
5,1937,H,COCA,0
6,1937,I,COCA,0
7,1937,J,COCA,0
8,1937,K,COCA,1
9,1937,L,COCA,1
10,1937,M,COCA,0
11,1937,N,COCA,0
12,1940,B,COCA,0
13,1940,C,COCA,0
14,1940,D,COCA,0
15,1940,E,COCA,0
16,1940,F,COCA,0
17,1940,G,COCA,0
18,1940,H,COCA,0
19,1940,I,COCA,0
20,1940,J,COCA,0
21,1940,K,COCA,0
22,1940,L,COCA,0
23,1940,M,COCA,0
24,1940,N,COCA,0
25,1948,B,COCA,0
26,1948,C,COCA,0
27,1948,D,COCA,0
28,1948,E,COCA,0
29,1948,F,COCA,0
30,1948,G,COCA,0
31,1948,H,COCA,0
32,1948,I,COCA,0
33,1948,J,COCA,0
34,1948,K,COCA,0
35,1948,L,COCA,0
36,1948,M,COCA,0
37,1948,N,COCA,1
38,1991,B,COCA,0
39,1991,C,COCA,0
40,1991,D,COCA,0
41,1991,E,COCA,0
42,1991,F,COCA,0
43,1991,G,COCA,0
44,1991,H,COCA,0
45,1991,I,COCA,0
46,1991,J,COCA,0
47,1991,K,COCA,0
48,1991,L,COCA,0
49,1991,M,COCA,0
50,1991,N,COCA,1
1,1937,C,COCO,0
2,1937,E,COCO,0
3,1937,F,COCO,0
4,1937,G,COCO,0
5,1937,H,COCO,0
6,1937,I,COCO,0
7,1937,J,COCO,0
8,1937,K,COCO,1
9,1937,L,COCO,1
10,1937,M,COCO,0
11,1937,N,COCO,0
12,1940,B,COCO,0
13,1940,C,COCO,0
14,1940,D,COCO,0
15,1940,E,COCO,0
16,1940,F,COCO,0
17,1940,G,COCO,0
18,1940,H,COCO,0
19,1940,I,COCO,0
20,1940,J,COCO,0
21,1940,K,COCO,0
22,1940,L,COCO,0
23,1940,M,COCO,0
24,1940,N,COCO,0
25,1948,B,COCO,0
26,1948,C,COCO,0
27,1948,D,COCO,0
28,1948,E,COCO,0
29,1948,F,COCO,0
30,1948,G,COCO,0
31,1948,H,COCO,0
32,1948,I,COCO,0
33,1948,J,COCO,0
34,1948,K,COCO,0
35,1948,L,COCO,0
36,1948,M,COCO,0
37,1948,N,COCO,0
38,1991,B,COCO,0
39,1991,C,COCO,0
40,1991,D,COCO,0
41,1991,E,COCO,1
42,1991,F,COCO,0
43,1991,G,COCO,0
44,1991,H,COCO,1
45,1991,I,COCO,1
46,1991,J,COCO,0
47,1991,K,COCO,1
48,1991,L,COCO,1
49,1991,M,COCO,0
50,1991,N,COCO,1
1,1937,C,CRSPP,0
2,1937,E,CRSPP,0
3,1937,F,CRSPP,0
4,1937,G,CRSPP,0
5,1937,H,CRSPP,0
6,1937,I,CRSPP,0
7,1937,J,CRSPP,0
8,1937,K,CRSPP,0
9,1937,L,CRSPP,0
10,1937,M,CRSPP,0
11,1937,N,CRSPP,0
12,1940,B,CRSPP,0
13,1940,C,CRSPP,1
14,1940,D,CRSPP,1
15,1940,E,CRSPP,0
16,1940,F,CRSPP,0
17,1940,G,CRSPP,1
18,1940,H,CRSPP,0
19,1940,I,CRSPP,0
20,1940,J,CRSPP,1
21,1940,K,CRSPP,1
22,1940,L,CRSPP,1
23,1940,M,CRSPP,0
24,1940,N,CRSPP,0
25,1948,B,CRSPP,0
26,1948,C,CRSPP,0
27,1948,D,CRSPP,0
28,1948,E,CRSPP,0
29,1948,F,CRSPP,0
30,1948,G,CRSPP,0
31,1948,H,CRSPP,0
32,1948,I,CRSPP,0
33,1948,J,CRSPP,1
34,1948,K,CRSPP,1
35,1948,L,CRSPP,1
36,1948,M,CRSPP,0
37,1948,N,CRSPP,0
38,1991,B,CRSPP,0
39,1991,C,CRSPP,0
40,1991,D,CRSPP,0
41,1991,E,CRSPP,0
42,1991,F,CRSPP,0
43,1991,G,CRSPP,0
44,1991,H,CRSPP,0
45,1991,I,CRSPP,0
46,1991,J,CRSPP,0
47,1991,K,CRSPP,1
48,1991,L,CRSPP,1
49,1991,M,CRSPP,0
50,1991,N,CRSPP,0
1,1937,C,CYAC,0
2,1937,E,CYAC,0
3,1937,F,CYAC,0
4,1937,G,CYAC,0
5,1937,H,CYAC,0
6,1937,I,CYAC,0
7,1937,J,CYAC,1
8,1937,K,CYAC,0
9,1937,L,CYAC,0
10,1937,M,CYAC,0
11,1937,N,CYAC,0
12,1940,B,CYAC,1
13,1940,C,CYAC,0
14,1940,D,CYAC,0
15,1940,E,CYAC,0
16,1940,F,CYAC,1
17,1940,G,CYAC,0
18,1940,H,CYAC,0
19,1940,I,CYAC,0
20,1940,J,CYAC,0
21,1940,K,CYAC,0
22,1940,L,CYAC,0
23,1940,M,CYAC,0
24,1940,N,CYAC,0
25,1948,B,CYAC,0
26,1948,C,CYAC,0
27,1948,D,CYAC,1
28,1948,E,CYAC,0
29,1948,F,CYAC,1
30,1948,G,CYAC,1
31,1948,H,CYAC,0
32,1948,I,CYAC,0
33,1948,J,CYAC,1
34,1948,K,CYAC,0
35,1948,L,CYAC,0
36,1948,M,CYAC,0
37,1948,N,CYAC,1
38,1991,B,CYAC,0
39,1991,C,CYAC,0
40,1991,D,CYAC,0
41,1991,E,CYAC,0
42,1991,F,CYAC,1
43,1991,G,CYAC,0
44,1991,H,CYAC,0
45,1991,I,CYAC,0
46,1991,J,CYAC,0
47,1991,K,CYAC,0
48,1991,L,CYAC,1
49,1991,M,CYAC,0
50,1991,N,CYAC,1
1,1937,C,DEPU,0
2,1937,E,DEPU,0
3,1937,F,DEPU,1
4,1937,G,DEPU,0
5,1937,H,DEPU,1
6,1937,I,DEPU,0
7,1937,J,DEPU,1
8,1937,K,DEPU,1
9,1937,L,DEPU,1
10,1937,M,DEPU,0
11,1937,N,DEPU,0
12,1940,B,DEPU,0
13,1940,C,DEPU,1
14,1940,D,DEPU,1
15,1940,E,DEPU,0
16,1940,F,DEPU,1
17,1940,G,DEPU,0
18,1940,H,DEPU,1
19,1940,I,DEPU,0
20,1940,J,DEPU,0
21,1940,K,DEPU,1
22,1940,L,DEPU,1
23,1940,M,DEPU,0
24,1940,N,DEPU,0
25,1948,B,DEPU,1
26,1948,C,DEPU,1
27,1948,D,DEPU,1
28,1948,E,DEPU,1
29,1948,F,DEPU,1
30,1948,G,DEPU,1
31,1948,H,DEPU,1
32,1948,I,DEPU,1
33,1948,J,DEPU,1
34,1948,K,DEPU,1
35,1948,L,DEPU,1
36,1948,M,DEPU,1
37,1948,N,DEPU,1
38,1991,B,DEPU,1
39,1991,C,DEPU,1
40,1991,D,DEPU,1
41,1991,E,DEPU,1
42,1991,F,DEPU,1
43,1991,G,DEPU,1
44,1991,H,DEPU,1
45,1991,I,DEPU,1
46,1991,J,DEPU,1
47,1991,K,DEPU,0
48,1991,L,DEPU,1
49,1991,M,DEPU,1
50,1991,N,DEPU,0
1,1937,C,DICU,0
2,1937,E,DICU,0
3,1937,F,DICU,0
4,1937,G,DICU,0
5,1937,H,DICU,0
6,1937,I,DICU,0
7,1937,J,DICU,0
8,1937,K,DICU,0
9,1937,L,DICU,0
10,1937,M,DICU,0
11,1937,N,DICU,0
12,1940,B,DICU,0
13,1940,C,DICU,0
14,1940,D,DICU,1
15,1940,E,DICU,0
16,1940,F,DICU,0
17,1940,G,DICU,0
18,1940,H,DICU,0
19,1940,I,DICU,0
20,1940,J,DICU,0
21,1940,K,DICU,0
22,1940,L,DICU,0
23,1940,M,DICU,0
24,1940,N,DICU,0
25,1948,B,DICU,0
26,1948,C,DICU,0
27,1948,D,DICU,0
28,1948,E,DICU,0
29,1948,F,DICU,0
30,1948,G,DICU,0
31,1948,H,DICU,0
32,1948,I,DICU,0
33,1948,J,DICU,0
34,1948,K,DICU,0
35,1948,L,DICU,0
36,1948,M,DICU,0
37,1948,N,DICU,0
38,1991,B,DICU,0
39,1991,C,DICU,0
40,1991,D,DICU,0
41,1991,E,DICU,0
42,1991,F,DICU,0
43,1991,G,DICU,0
44,1991,H,DICU,0
45,1991,I,DICU,0
46,1991,J,DICU,0
47,1991,K,DICU,0
48,1991,L,DICU,0
49,1991,M,DICU,0
50,1991,N,DICU,0
1,1937,C,DILO,0
2,1937,E,DILO,0
3,1937,F,DILO,0
4,1937,G,DILO,0
5,1937,H,DILO,0
6,1937,I,DILO,0
7,1937,J,DILO,0
8,1937,K,DILO,0
9,1937,L,DILO,0
10,1937,M,DILO,0
11,1937,N,DILO,0
12,1940,B,DILO,0
13,1940,C,DILO,0
14,1940,D,DILO,0
15,1940,E,DILO,0
16,1940,F,DILO,0
17,1940,G,DILO,0
18,1940,H,DILO,0
19,1940,I,DILO,0
20,1940,J,DILO,0
21,1940,K,DILO,0
22,1940,L,DILO,0
23,1940,M,DILO,0
24,1940,N,DILO,0
25,1948,B,DILO,0
26,1948,C,DILO,0
27,1948,D,DILO,0
28,1948,E,DILO,0
29,1948,F,DILO,0
30,1948,G,DILO,0
31,1948,H,DILO,0
32,1948,I,DILO,0
33,1948,J,DILO,0
34,1948,K,DILO,0
35,1948,L,DILO,0
36,1948,M,DILO,0
37,1948,N,DILO,0
38,1991,B,DILO,0
39,1991,C,DILO,1
40,1991,D,DILO,1
41,1991,E,DILO,0
42,1991,F,DILO,0
43,1991,G,DILO,0
44,1991,H,DILO,0
45,1991,I,DILO,0
46,1991,J,DILO,0
47,1991,K,DILO,0
48,1991,L,DILO,1
49,1991,M,DILO,0
50,1991,N,DILO,0
1,1937,C,DRCR,0
2,1937,E,DRCR,0
3,1937,F,DRCR,0
4,1937,G,DRCR,0
5,1937,H,DRCR,0
6,1937,I,DRCR,0
7,1937,J,DRCR,0
8,1937,K,DRCR,0
9,1937,L,DRCR,0
10,1937,M,DRCR,0
11,1937,N,DRCR,0
12,1940,B,DRCR,0
13,1940,C,DRCR,0
14,1940,D,DRCR,0
15,1940,E,DRCR,0
16,1940,F,DRCR,0
17,1940,G,DRCR,0
18,1940,H,DRCR,0
19,1940,I,DRCR,0
20,1940,J,DRCR,0
21,1940,K,DRCR,0
22,1940,L,DRCR,0
23,1940,M,DRCR,0
24,1940,N,DRCR,0
25,1948,B,DRCR,0
26,1948,C,DRCR,0
27,1948,D,DRCR,0
28,1948,E,DRCR,0
29,1948,F,DRCR,1
30,1948,G,DRCR,0
31,1948,H,DRCR,0
32,1948,I,DRCR,0
33,1948,J,DRCR,0
34,1948,K,DRCR,0
35,1948,L,DRCR,1
36,1948,M,DRCR,0
37,1948,N,DRCR,0
38,1991,B,DRCR,0
39,1991,C,DRCR,0
40,1991,D,DRCR,0
41,1991,E,DRCR,0
42,1991,F,DRCR,0
43,1991,G,DRCR,0
44,1991,H,DRCR,0
45,1991,I,DRCR,0
46,1991,J,DRCR,0
47,1991,K,DRCR,0
48,1991,L,DRCR,1
49,1991,M,DRCR,0
50,1991,N,DRCR,0
1,1937,C,DRMA,0
2,1937,E,DRMA,0
3,1937,F,DRMA,0
4,1937,G,DRMA,0
5,1937,H,DRMA,0
6,1937,I,DRMA,0
7,1937,J,DRMA,0
8,1937,K,DRMA,0
9,1937,L,DRMA,0
10,1937,M,DRMA,0
11,1937,N,DRMA,0
12,1940,B,DRMA,0
13,1940,C,DRMA,0
14,1940,D,DRMA,0
15,1940,E,DRMA,0
16,1940,F,DRMA,0
17,1940,G,DRMA,0
18,1940,H,DRMA,0
19,1940,I,DRMA,0
20,1940,J,DRMA,0
21,1940,K,DRMA,0
22,1940,L,DRMA,0
23,1940,M,DRMA,0
24,1940,N,DRMA,0
25,1948,B,DRMA,0
26,1948,C,DRMA,0
27,1948,D,DRMA,0
28,1948,E,DRMA,0
29,1948,F,DRMA,0
30,1948,G,DRMA,0
31,1948,H,DRMA,0
32,1948,I,DRMA,0
33,1948,J,DRMA,0
34,1948,K,DRMA,0
35,1948,L,DRMA,0
36,1948,M,DRMA,0
37,1948,N,DRMA,0
38,1991,B,DRMA,0
39,1991,C,DRMA,0
40,1991,D,DRMA,0
41,1991,E,DRMA,0
42,1991,F,DRMA,0
43,1991,G,DRMA,0
44,1991,H,DRMA,0
45,1991,I,DRMA,0
46,1991,J,DRMA,0
47,1991,K,DRMA,0
48,1991,L,DRMA,1
49,1991,M,DRMA,0
50,1991,N,DRMA,0
1,1937,C,DRSP,0
2,1937,E,DRSP,0
3,1937,F,DRSP,0
4,1937,G,DRSP,1
5,1937,H,DRSP,1
6,1937,I,DRSP,0
7,1937,J,DRSP,1
8,1937,K,DRSP,1
9,1937,L,DRSP,1
10,1937,M,DRSP,0
11,1937,N,DRSP,0
12,1940,B,DRSP,0
13,1940,C,DRSP,0
14,1940,D,DRSP,0
15,1940,E,DRSP,1
16,1940,F,DRSP,0
17,1940,G,DRSP,0
18,1940,H,DRSP,0
19,1940,I,DRSP,0
20,1940,J,DRSP,0
21,1940,K,DRSP,0
22,1940,L,DRSP,0
23,1940,M,DRSP,0
24,1940,N,DRSP,1
25,1948,B,DRSP,0
26,1948,C,DRSP,0
27,1948,D,DRSP,0
28,1948,E,DRSP,0
29,1948,F,DRSP,0
30,1948,G,DRSP,0
31,1948,H,DRSP,0
32,1948,I,DRSP,0
33,1948,J,DRSP,0
34,1948,K,DRSP,0
35,1948,L,DRSP,0
36,1948,M,DRSP,0
37,1948,N,DRSP,0
38,1991,B,DRSP,0
39,1991,C,DRSP,0
40,1991,D,DRSP,1
41,1991,E,DRSP,0
42,1991,F,DRSP,0
43,1991,G,DRSP,0
44,1991,H,DRSP,0
45,1991,I,DRSP,1
46,1991,J,DRSP,0
47,1991,K,DRSP,1
48,1991,L,DRSP,0
49,1991,M,DRSP,0
50,1991,N,DRSP,0
1,1937,C,EPAN,0
2,1937,E,EPAN,0
3,1937,F,EPAN,0
4,1937,G,EPAN,0
5,1937,H,EPAN,0
6,1937,I,EPAN,0
7,1937,J,EPAN,0
8,1937,K,EPAN,0
9,1937,L,EPAN,0
10,1937,M,EPAN,0
11,1937,N,EPAN,0
12,1940,B,EPAN,0
13,1940,C,EPAN,0
14,1940,D,EPAN,0
15,1940,E,EPAN,0
16,1940,F,EPAN,0
17,1940,G,EPAN,0
18,1940,H,EPAN,0
19,1940,I,EPAN,0
20,1940,J,EPAN,0
21,1940,K,EPAN,0
22,1940,L,EPAN,0
23,1940,M,EPAN,0
24,1940,N,EPAN,0
25,1948,B,EPAN,0
26,1948,C,EPAN,0
27,1948,D,EPAN,0
28,1948,E,EPAN,0
29,1948,F,EPAN,0
30,1948,G,EPAN,1
31,1948,H,EPAN,0
32,1948,I,EPAN,0
33,1948,J,EPAN,0
34,1948,K,EPAN,0
35,1948,L,EPAN,0
36,1948,M,EPAN,0
37,1948,N,EPAN,0
38,1991,B,EPAN,0
39,1991,C,EPAN,0
40,1991,D,EPAN,0
41,1991,E,EPAN,0
42,1991,F,EPAN,0
43,1991,G,EPAN,0
44,1991,H,EPAN,0
45,1991,I,EPAN,0
46,1991,J,EPAN,0
47,1991,K,EPAN,0
48,1991,L,EPAN,0
49,1991,M,EPAN,0
50,1991,N,EPAN,0
1,1937,C,EPRE,0
2,1937,E,EPRE,0
3,1937,F,EPRE,0
4,1937,G,EPRE,0
5,1937,H,EPRE,0
6,1937,I,EPRE,0
7,1937,J,EPRE,0
8,1937,K,EPRE,0
9,1937,L,EPRE,0
10,1937,M,EPRE,0
11,1937,N,EPRE,0
12,1940,B,EPRE,0
13,1940,C,EPRE,0
14,1940,D,EPRE,0
15,1940,E,EPRE,0
16,1940,F,EPRE,0
17,1940,G,EPRE,0
18,1940,H,EPRE,0
19,1940,I,EPRE,0
20,1940,J,EPRE,0
21,1940,K,EPRE,0
22,1940,L,EPRE,0
23,1940,M,EPRE,0
24,1940,N,EPRE,0
25,1948,B,EPRE,0
26,1948,C,EPRE,0
27,1948,D,EPRE,0
28,1948,E,EPRE,0
29,1948,F,EPRE,0
30,1948,G,EPRE,0
31,1948,H,EPRE,0
32,1948,I,EPRE,0
33,1948,J,EPRE,0
34,1948,K,EPRE,1
35,1948,L,EPRE,0
36,1948,M,EPRE,0
37,1948,N,EPRE,0
38,1991,B,EPRE,0
39,1991,C,EPRE,0
40,1991,D,EPRE,0
41,1991,E,EPRE,0
42,1991,F,EPRE,0
43,1991,G,EPRE,1
44,1991,H,EPRE,0
45,1991,I,EPRE,0
46,1991,J,EPRE,0
47,1991,K,EPRE,0
48,1991,L,EPRE,0
49,1991,M,EPRE,0
50,1991,N,EPRE,0
1,1937,C,EPSPP,0
2,1937,E,EPSPP,0
3,1937,F,EPSPP,0
4,1937,G,EPSPP,1
5,1937,H,EPSPP,0
6,1937,I,EPSPP,0
7,1937,J,EPSPP,0
8,1937,K,EPSPP,0
9,1937,L,EPSPP,0
10,1937,M,EPSPP,0
11,1937,N,EPSPP,0
12,1940,B,EPSPP,0
13,1940,C,EPSPP,0
14,1940,D,EPSPP,0
15,1940,E,EPSPP,0
16,1940,F,EPSPP,0
17,1940,G,EPSPP,0
18,1940,H,EPSPP,0
19,1940,I,EPSPP,0
20,1940,J,EPSPP,0
21,1940,K,EPSPP,0
22,1940,L,EPSPP,0
23,1940,M,EPSPP,0
24,1940,N,EPSPP,0
25,1948,B,EPSPP,0
26,1948,C,EPSPP,0
27,1948,D,EPSPP,0
28,1948,E,EPSPP,0
29,1948,F,EPSPP,0
30,1948,G,EPSPP,0
31,1948,H,EPSPP,0
32,1948,I,EPSPP,0
33,1948,J,EPSPP,0
34,1948,K,EPSPP,0
35,1948,L,EPSPP,0
36,1948,M,EPSPP,0
37,1948,N,EPSPP,0
38,1991,B,EPSPP,0
39,1991,C,EPSPP,0
40,1991,D,EPSPP,0
41,1991,E,EPSPP,0
42,1991,F,EPSPP,0
43,1991,G,EPSPP,0
44,1991,H,EPSPP,0
45,1991,I,EPSPP,0
46,1991,J,EPSPP,0
47,1991,K,EPSPP,0
48,1991,L,EPSPP,0
49,1991,M,EPSPP,0
50,1991,N,EPSPP,0
1,1937,C,FRSPP,0
2,1937,E,FRSPP,0
3,1937,F,FRSPP,0
4,1937,G,FRSPP,0
5,1937,H,FRSPP,0
6,1937,I,FRSPP,0
7,1937,J,FRSPP,0
8,1937,K,FRSPP,1
9,1937,L,FRSPP,1
10,1937,M,FRSPP,0
11,1937,N,FRSPP,0
12,1940,B,FRSPP,1
13,1940,C,FRSPP,0
14,1940,D,FRSPP,0
15,1940,E,FRSPP,1
16,1940,F,FRSPP,0
17,1940,G,FRSPP,1
18,1940,H,FRSPP,1
19,1940,I,FRSPP,1
20,1940,J,FRSPP,1
21,1940,K,FRSPP,1
22,1940,L,FRSPP,1
23,1940,M,FRSPP,1
24,1940,N,FRSPP,1
25,1948,B,FRSPP,0
26,1948,C,FRSPP,0
27,1948,D,FRSPP,0
28,1948,E,FRSPP,0
29,1948,F,FRSPP,0
30,1948,G,FRSPP,0
31,1948,H,FRSPP,0
32,1948,I,FRSPP,0
33,1948,J,FRSPP,0
34,1948,K,FRSPP,0
35,1948,L,FRSPP,0
36,1948,M,FRSPP,0
37,1948,N,FRSPP,0
38,1991,B,FRSPP,0
39,1991,C,FRSPP,0
40,1991,D,FRSPP,0
41,1991,E,FRSPP,0
42,1991,F,FRSPP,0
43,1991,G,FRSPP,0
44,1991,H,FRSPP,0
45,1991,I,FRSPP,0
46,1991,J,FRSPP,0
47,1991,K,FRSPP,0
48,1991,L,FRSPP,0
49,1991,M,FRSPP,0
50,1991,N,FRSPP,0
1,1937,C,GASPP,0
2,1937,E,GASPP,0
3,1937,F,GASPP,0
4,1937,G,GASPP,0
5,1937,H,GASPP,0
6,1937,I,GASPP,0
7,1937,J,GASPP,0
8,1937,K,GASPP,0
9,1937,L,GASPP,0
10,1937,M,GASPP,0
11,1937,N,GASPP,0
12,1940,B,GASPP,0
13,1940,C,GASPP,0
14,1940,D,GASPP,0
15,1940,E,GASPP,0
16,1940,F,GASPP,0
17,1940,G,GASPP,0
18,1940,H,GASPP,0
19,1940,I,GASPP,0
20,1940,J,GASPP,0
21,1940,K,GASPP,0
22,1940,L,GASPP,0
23,1940,M,GASPP,0
24,1940,N,GASPP,1
25,1948,B,GASPP,0
26,1948,C,GASPP,0
27,1948,D,GASPP,0
28,1948,E,GASPP,0
29,1948,F,GASPP,0
30,1948,G,GASPP,0
31,1948,H,GASPP,0
32,1948,I,GASPP,1
33,1948,J,GASPP,0
34,1948,K,GASPP,0
35,1948,L,GASPP,0
36,1948,M,GASPP,0
37,1948,N,GASPP,0
38,1991,B,GASPP,0
39,1991,C,GASPP,0
40,1991,D,GASPP,0
41,1991,E,GASPP,0
42,1991,F,GASPP,0
43,1991,G,GASPP,0
44,1991,H,GASPP,0
45,1991,I,GASPP,0
46,1991,J,GASPP,0
47,1991,K,GASPP,0
48,1991,L,GASPP,0
49,1991,M,GASPP,0
50,1991,N,GASPP,0
1,1937,C,GAPR,1
2,1937,E,GAPR,1
3,1937,F,GAPR,1
4,1937,G,GAPR,1
5,1937,H,GAPR,0
6,1937,I,GAPR,0
7,1937,J,GAPR,1
8,1937,K,GAPR,1
9,1937,L,GAPR,1
10,1937,M,GAPR,1
11,1937,N,GAPR,1
12,1940,B,GAPR,0
13,1940,C,GAPR,1
14,1940,D,GAPR,1
15,1940,E,GAPR,1
16,1940,F,GAPR,0
17,1940,G,GAPR,0
18,1940,H,GAPR,0
19,1940,I,GAPR,0
20,1940,J,GAPR,0
21,1940,K,GAPR,1
22,1940,L,GAPR,1
23,1940,M,GAPR,1
24,1940,N,GAPR,0
25,1948,B,GAPR,0
26,1948,C,GAPR,1
27,1948,D,GAPR,1
28,1948,E,GAPR,1
29,1948,F,GAPR,1
30,1948,G,GAPR,1
31,1948,H,GAPR,0
32,1948,I,GAPR,0
33,1948,J,GAPR,1
34,1948,K,GAPR,1
35,1948,L,GAPR,1
36,1948,M,GAPR,1
37,1948,N,GAPR,1
38,1991,B,GAPR,0
39,1991,C,GAPR,1
40,1991,D,GAPR,1
41,1991,E,GAPR,1
42,1991,F,GAPR,1
43,1991,G,GAPR,1
44,1991,H,GAPR,0
45,1991,I,GAPR,0
46,1991,J,GAPR,1
47,1991,K,GAPR,1
48,1991,L,GAPR,1
49,1991,M,GAPR,1
50,1991,N,GAPR,1
1,1937,C,HACI,0
2,1937,E,HACI,0
3,1937,F,HACI,0
4,1937,G,HACI,0
5,1937,H,HACI,0
6,1937,I,HACI,0
7,1937,J,HACI,0
8,1937,K,HACI,0
9,1937,L,HACI,0
10,1937,M,HACI,0
11,1937,N,HACI,0
12,1940,B,HACI,0
13,1940,C,HACI,0
14,1940,D,HACI,1
15,1940,E,HACI,0
16,1940,F,HACI,0
17,1940,G,HACI,0
18,1940,H,HACI,0
19,1940,I,HACI,0
20,1940,J,HACI,0
21,1940,K,HACI,0
22,1940,L,HACI,0
23,1940,M,HACI,0
24,1940,N,HACI,0
25,1948,B,HACI,0
26,1948,C,HACI,0
27,1948,D,HACI,0
28,1948,E,HACI,0
29,1948,F,HACI,0
30,1948,G,HACI,0
31,1948,H,HACI,0
32,1948,I,HACI,0
33,1948,J,HACI,0
34,1948,K,HACI,0
35,1948,L,HACI,0
36,1948,M,HACI,0
37,1948,N,HACI,0
38,1991,B,HACI,0
39,1991,C,HACI,0
40,1991,D,HACI,0
41,1991,E,HACI,0
42,1991,F,HACI,0
43,1991,G,HACI,0
44,1991,H,HACI,0
45,1991,I,HACI,0
46,1991,J,HACI,0
47,1991,K,HACI,0
48,1991,L,HACI,0
49,1991,M,HACI,0
50,1991,N,HACI,0
1,1937,C,HAVI,0
2,1937,E,HAVI,1
3,1937,F,HAVI,0
4,1937,G,HAVI,0
5,1937,H,HAVI,0
6,1937,I,HAVI,0
7,1937,J,HAVI,0
8,1937,K,HAVI,0
9,1937,L,HAVI,0
10,1937,M,HAVI,0
11,1937,N,HAVI,0
12,1940,B,HAVI,0
13,1940,C,HAVI,0
14,1940,D,HAVI,1
15,1940,E,HAVI,1
16,1940,F,HAVI,1
17,1940,G,HAVI,1
18,1940,H,HAVI,1
19,1940,I,HAVI,1
20,1940,J,HAVI,0
21,1940,K,HAVI,1
22,1940,L,HAVI,1
23,1940,M,HAVI,0
24,1940,N,HAVI,0
25,1948,B,HAVI,0
26,1948,C,HAVI,0
27,1948,D,HAVI,1
28,1948,E,HAVI,1
29,1948,F,HAVI,0
30,1948,G,HAVI,1
31,1948,H,HAVI,1
32,1948,I,HAVI,0
33,1948,J,HAVI,0
34,1948,K,HAVI,1
35,1948,L,HAVI,1
36,1948,M,HAVI,0
37,1948,N,HAVI,0
38,1991,B,HAVI,0
39,1991,C,HAVI,0
40,1991,D,HAVI,1
41,1991,E,HAVI,0
42,1991,F,HAVI,1
43,1991,G,HAVI,0
44,1991,H,HAVI,0
45,1991,I,HAVI,0
46,1991,J,HAVI,0
