sample.date,plot,sample.number,tree.tag,spp,N.percent,C.percent,vial.label
2006-07-07,X5,2,663,rm,1.908090472,50.2189827,NA
2006-07-07,X5,3,679,rm,1.8713063,50.21298981,NA
2006-07-07,X5,3,679,rm,1.90803051,50.48860931,NA
2006-07-07,X5,4,686,hem,1.069235206,52.12175369,NA
2006-07-07,X5,4,686,hem,1.094844103,51.11557007,NA
2006-07-07,X6,1,623,ro,2.295707703,50.71977997,NA
2006-07-07,X6,1,623,ro,2.298576832,50.54997635,NA
2006-07-07,X6,2,629,bb,2.340434074,49.78240967,NA
2006-07-07,X6,2,629,bb,2.385818005,49.63449097,NA
2006-07-07,X6,3,644,beech,2.24554944,49.66003799,NA
2006-07-07,X6,3,644,beech,2.209746361,48.80031967,NA
2006-07-07,X6,4,out,ro,2.109726191,50.53356171,NA
2006-07-07,X6,4,out,ro,2.161556959,51.02787399,NA
2007-07-19,A1,NA,6,rm,1.947248816,49.70797348,NA
2007-07-19,A1,NA,6,rm,1.857150435,49.62879562,NA
2007-07-19,A1,NA,8,yb,2.332147598,48.6954689,NA
2007-07-19,A1,NA,8,yb,2.318409681,48.91224289,NA
2007-07-19,A1,NA,19,ro,2.240599394,50.21313095,NA
2007-07-19,A1,NA,19,ro,2.144822359,49.82833862,NA
2007-07-19,A2,NA,26,bo,2.657201767,50.25393677,NA
2007-07-19,A2,NA,26,bo,2.439081907,50.06848907,NA
2007-07-19,A2,NA,26,bo,2.652051449,50.61348343,NA
2007-07-19,A2,NA,35,rm,1.964174747,48.72089005,NA
2007-07-19,A2,NA,35,rm,1.975225806,49.140728,NA
2007-07-19,A2,NA,92,beech,2.650025845,48.65996933,NA
2007-07-19,A2,NA,92,beech,2.642794609,49.08413696,NA
2007-07-19,A3,NA,52,beech,2.644040346,49.29915237,NA
2007-07-19,A3,NA,52,beech,2.65133214,48.78894043,NA
2007-07-19,A3,NA,58,ro,2.229159594,51.55257416,NA
2007-07-19,A3,NA,58,ro,2.32089901,52.15019989,NA
2007-07-24,A3,NA,64,yb,2.502875805,49.0102005,NA
2007-07-24,A3,NA,64,yb,2.515376091,49.42161179,NA
2007-07-19,A3,NA,66,rm,2.132385969,50.80377579,NA
2007-07-19,A3,NA,66,rm,2.109408855,50.03941345,NA
2007-07-19,A3,NA,69,rm,2.042865753,50.12158966,NA
2007-07-19,A3,NA,69,rm,1.961300254,50.08197021,NA
2007-07-24,A3,NA,263,bb,2.274541855,48.20074844,NA
2007-07-24,A3,NA,263,bb,2.176063538,47.75764847,NA
2007-07-19,B1,NA,154,rm,2.19068408,49.60436249,NA
2007-07-19,B1,NA,154,rm,2.179577351,49.45433807,NA
2007-07-19,B1,NA,164,wp,1.336809039,51.59068298,NA
2007-07-19,B1,NA,164,wp,1.314464808,51.26075363,NA
2007-07-19,B1,NA,165,ro,2.392366409,49.96373749,NA
2007-07-19,B1,NA,165,ro,2.411475658,49.52834702,NA
2007-07-19,B2,NA,179,ro,2.353485823,50.17816162,NA
2007-07-19,B2,NA,179,ro,2.278324127,50.56982803,NA
2007-07-19,B2,NA,182,yb,2.258722544,47.97428513,NA
2007-07-19,B2,NA,182,yb,2.408402443,48.06811905,NA
2007-07-19,B2,NA,182,yb,2.214455605,47.02087402,NA
2007-07-19,B2,NA,189,cherry,2.36618185,50.10423279,NA
2007-07-19,B2,NA,189,cherry,2.300404549,50.05495834,NA
2007-07-19,B2,NA,192,bb,2.807066679,50.01734161,NA
2007-07-19,B2,NA,192,bb,2.816405296,50.52988815,NA
2007-07-19,B2,NA,194,rm,2.182223082,51.08161926,NA
2007-07-19,B2,NA,194,rm,2.170830488,51.0889473,NA
2007-07-24,B3,NA,203,ash,2.726471424,47.74665833,NA
2007-07-24,B3,NA,203,ash,2.77979207,47.25195313,NA
2007-07-24,B3,NA,214,yb,2.399606943,48.93947983,NA
2007-07-24,B3,NA,214,yb,2.431814432,49.57134247,NA
2007-07-24,B3,NA,225,rm,2.034976244,49.04372787,NA
2007-07-24,B3,NA,225,rm,2.039286137,48.98394775,NA
2007-07-24,B3,NA,232,ro,2.270151854,49.08096313,NA
2007-07-24,B3,NA,232,ro,2.160997391,48.34840012,NA
2007-07-24,B4,NA,251,bo,2.643255472,50.75104141,NA
2007-07-24,B4,NA,251,bo,2.616276264,50.12018967,NA
2007-07-24,B4,NA,257,rm,1.913563728,49.97130966,NA
2007-07-24,B4,NA,257,rm,1.961307764,49.94935226,NA
2007-07-24,B4,NA,262,ro,2.519084454,50.53770828,NA
2007-07-24,B4,NA,262,ro,2.485360146,51.49600983,NA
2007-07-24,B4,NA,262,ro,2.391948223,50.07847977,NA
2007-07-24,B4,NA,268,gb,2.143799305,48.39914322,NA
2007-07-24,B4,NA,268,gb,2.143173933,48.51723862,NA
2007-07-19,C1,NA,214,bb,2.684204578,50.04964828,NA
2007-07-19,C1,NA,214,bb,2.650420666,50.09394836,NA
2007-07-19,C1,NA,225,beech,2.230177402,49.05615234,NA
2007-07-19,C1,NA,225,beech,2.206555128,48.21705246,NA
2007-07-19,C1,NA,351,hem,1.525286078,50.46635818,NA
2007-07-19,C1,NA,351,hem,1.578133106,50.09225845,NA
2007-07-19,C1,NA,354,rm,1.931578517,50.68379211,NA
2007-07-19,C1,NA,354,rm,1.902632594,50.69221115,NA
2007-07-19,C1,NA,355,yb,2.426784277,49.14582062,NA
2007-07-19,C1,NA,355,yb,2.504510164,48.62870789,NA
2007-07-19,C1,NA,359,wp,1.282263637,50.6975708,NA
2007-07-19,C1,NA,359,wp,1.294142127,50.72307968,NA
2007-07-19,C1,NA,362,ro,2.572427511,50.5421524,NA
2007-07-19,C1,NA,362,ro,2.520007133,50.38715363,NA
2007-07-19,C2,NA,380,rm,2.445175648,50.60292435,NA
2007-07-19,C2,NA,380,rm,2.326516867,50.45713806,NA
2007-07-19,C2,NA,388,beech,2.464779377,49.96398163,NA
2007-07-19,C2,NA,388,beech,2.571051836,49.88364792,NA
2007-07-19,C2,NA,392,ro,2.631408691,48.2869606,NA
2007-07-19,C2,NA,392,ro,2.359797716,49.87166977,NA
2007-07-19,C2,NA,392,ro,2.531107903,49.68798065,NA
2007-07-19,C2,NA,392,ro,2.74899435,50.25908279,NA
2007-07-19,C2,NA,392,ro,2.686253309,51.08455658,NA
2007-07-19,C2,NA,out,ro,2.221716404,49.30160904,NA
2007-07-19,C2,NA,out,ro,2.211277723,50.15984344,NA
2007-07-24,C3,NA,264,hem,1.493243217,50.42934418,NA
2007-07-24,C3,NA,264,hem,1.455589414,50.22754669,NA
2007-07-24,C3,NA,403,rm,1.846795678,50.12339783,NA
2007-07-24,C3,NA,403,rm,1.865507603,50.10308456,NA
2007-07-24,C3,NA,409,cherry,2.353773355,49.10445786,NA
2007-07-24,C3,NA,409,cherry,2.372977495,48.91068268,NA
2007-07-24,C3,NA,424,yb,2.388053417,48.16820908,NA
2007-07-24,C3,NA,424,yb,2.43274188,48.26511765,NA
2007-07-24,C3,NA,425,ash,2.133482933,47.41647339,NA
2007-07-24,C3,NA,425,ash,2.130867958,47.09095764,NA
2007-07-25,C4,NA,462,bo,2.649523258,50.98516083,NA
2007-07-25,C4,NA,462,bo,2.649982929,50.82197952,NA
2007-07-25,C4,NA,485,beech,2.639530182,49.15466309,NA
2007-07-25,C4,NA,485,beech,2.692960024,48.45835495,NA
2007-07-25,C4,NA,491,rm,1.932011127,51.84899521,NA
2007-07-25,C4,NA,491,rm,1.835215449,51.40345383,NA
2007-07-25,C4,NA,493,ws,0.901753604,50.48852921,NA
2007-07-25,C4,NA,493,ws,0.82240653,50.44569778,NA
2007-07-24,C5,NA,290,beech,2.124205589,48.61968994,NA
2007-07-24,C5,NA,290,beech,2.114047289,48.81050873,NA
2007-07-24,C5,NA,501,bo,2.5445261,50.54779816,NA
2007-07-24,C5,NA,501,bo,2.46915555,52.18958282,NA
2007-07-24,C5,NA,503,gb,2.564289093,50.77359772,NA
2007-07-24,C5,NA,503,gb,2.486293554,50.66544724,NA
2007-07-24,C5,NA,512,rm,2.205438375,50.20762634,NA
2007-07-24,C5,NA,512,rm,2.28840971,50.49217987,NA
2007-07-24,C5,NA,513,ro,2.312085867,50.59205627,NA
2007-07-24,C5,NA,513,ro,2.265969992,49.32976151,NA
2007-07-24,C5,NA,518,yb,2.535898447,48.95799637,NA
2007-07-24,C5,NA,518,yb,2.609267473,49.0506897,NA
2007-07-19,D1,NA,538,ro,2.298530102,50.45674515,NA
2007-07-19,D1,NA,538,ro,2.29182744,50.10626984,NA
2007-07-19,D1,NA,542,rm,2.137117147,49.89850998,NA
2007-07-19,D1,NA,542,rm,2.191815853,50.27676773,NA
2007-07-19,D1,NA,548,wp,1.528871298,50.49069214,NA
2007-07-19,D1,NA,548,wp,1.545539379,51.63669586,NA
2007-07-19,D1,NA,out,ro,2.612894773,50.93989944,NA
2007-07-19,D1,NA,out,ro,2.649231911,50.72012329,NA
2007-07-19,D2,NA,288,hem,1.504394531,51.12057495,NA
2007-07-19,D2,NA,288,hem,1.860494971,50.90211868,NA
2007-07-19,D2,NA,288,hem,1.444705606,50.74996948,NA
2007-07-19,D2,NA,579,yb,2.190247297,48.31578827,NA
2007-07-19,D2,NA,579,yb,2.220500231,48.67772675,NA
2007-07-19,D2,NA,588,ro,2.213268757,49.62171936,NA
