site,DBH,trees.per.ha,ba,awb
cut,1 to 5,884.19 (?577.90),46.98 (?30.8),0.76 (?0.48)
tow,1 to 5,956.86 (?256.77),50.82 (?12.60),1.36 (?0.82)
tow,5 to 10,282.62 (?68.41),114.07 (?25.61),7.12 (?5.75)
