collection,month,year,species,plot,n.wt,avg.m.remain,sd.m.remain,n,avg.per.n,sd.per.n,avg.per.lignin,sd.per.lignin,avg.per.cellulose,sd.per.cellulose
6,11,1991,ACRU,PH,4,44.23,5.12,2,1.74,0.02,52.74,0.08,30.55,0.28
7,8,1992,ACRU,PH,4,44.79,3.57,2,1.89,0.01,52.94,0.18,30.39,0.06
8,11,1992,ACRU,PH,4,41.75,6.66,2,1.81,0,54.51,0.4,30.52,0.58
9,8,1993,ACRU,PH,3,42.93,5.42,2,1.8,0.05,55.61,0.13,29.69,0.27
10,11,1993,ACRU,PH,4,39.99,1.27,2,1.84,0.04,56.19,0.05,28.69,0.31
11,8,1994,ACRU,PH,7,40.35,2.23,4,1.87,0.03,56.94,1.12,29.86,0.39
12,11,1994,ACRU,PH,8,32.75,4.71,4,1.94,0.06,58.23,0.6,28.96,0.41
1,8,1989,ACRU,PL,4,67.74,1.8,2,1.23,0.05,44.29,0.43,32.15,0.09
2,11,1989,ACRU,PL,4,57.14,1.5,2,1.37,0.01,46.68,0.5,31.69,0.18
3,8,1990,ACRU,PL,4,49.11,2.41,2,1.62,0.03,49.82,0.03,31.27,0
4,11,1990,ACRU,PL,4,43.58,2.64,2,1.66,0.02,49.41,0.12,31.4,0.15
5,8,1991,ACRU,PL,4,39.57,8.94,2,1.75,0.02,53,0.2,30.5,0.6
6,11,1991,ACRU,PL,4,47.1,8.08,2,1.81,0.01,55.73,2.04,30.33,0.23
7,8,1992,ACRU,PL,4,42.56,5.62,2,1.84,0.07,55.09,0.46,30.28,0.05
8,11,1992,ACRU,PL,3,31.22,1.68,2,1.84,0.05,54.73,0.72,29.19,0.12
9,8,1993,ACRU,PL,4,27.47,8.71,2,1.98,0.06,55.99,1.14,28.66,0.72
10,11,1993,ACRU,PL,4,33.07,11.06,2,1.84,0.05,56.79,1.75,28.22,0.55
11,8,1994,ACRU,PL,8,30.45,7.91,4,1.95,0.03,57.76,0.75,29.12,0.44
12,11,1994,ACRU,PL,8,25.9,7.92,4,1.94,0.02,56.49,0.77,28.95,0.53
1,8,1989,BEAL,PC,4,75.2,2.44,2,1.58,0.13,40.12,0.01,37.59,1.72
2,11,1989,BEAL,PC,4,63.87,2.29,2,1.76,0.02,46.29,0.26,33.83,0.2
3,8,1990,BEAL,PC,4,64.48,5.05,2,1.84,0.08,45.55,0.51,34.36,0.08
4,11,1990,BEAL,PC,4,40.95,6.31,2,2.19,0.02,46.33,0.59,34.61,0.65
5,8,1991,BEAL,PC,4,41.19,3.75,2,2.13,0.05,48.37,0.37,33.26,0.33
6,11,1991,BEAL,PC,4,40.9,0.91,2,2.19,0.02,51.39,0.72,31.52,0
7,8,1992,BEAL,PC,4,34.05,6.67,2,2.29,0.06,50.67,0.61,31.88,0.27
8,11,1992,BEAL,PC,4,35.35,9.53,2,2.25,0.01,51.59,1.71,32.01,0.44
9,8,1993,BEAL,PC,4,30.14,9.98,2,2.27,0.02,51.93,0.65,31.36,0.31
10,11,1993,BEAL,PC,4,31.6,3.93,2,2.3,0.05,52.38,1.47,30.64,0.65
11,8,1994,BEAL,PC,8,22.75,3.36,4,2.29,0.07,51.87,0.5,31.76,1.42
12,11,1994,BEAL,PC,8,15.96,3.33,4,2.22,0.04,53.16,2.07,30.4,1.11
1,8,1989,BEAL,PH,4,75.48,4.81,2,1.63,0.04,40.51,0.12,35.95,0.1
2,11,1989,BEAL,PH,4,64.8,0.84,2,1.7,0.05,45.09,0.13,33.89,0.18
3,8,1990,BEAL,PH,4,58.82,2.75,2,1.84,0.01,46.98,0.1,33.35,0.13
4,11,1990,BEAL,PH,4,53.45,4.16,2,1.92,0.02,48.91,0.77,32.99,0.32
5,8,1991,BEAL,PH,4,48.02,3.17,2,2.14,0.01,50.04,0.98,32.81,0.23
6,11,1991,BEAL,PH,4,47.56,2.76,2,2.25,0.01,49.84,1.49,31.77,0.52
7,8,1992,BEAL,PH,4,49.38,2.97,2,2.19,0.09,52.8,1.14,32.01,0.39
8,11,1992,BEAL,PH,4,34.21,5.12,2,2.25,0.01,52.85,1.46,31.55,0.26
9,8,1993,BEAL,PH,4,46.82,7.09,2,2.22,0.02,55.34,0.58,31.03,0.06
10,11,1993,BEAL,PH,4,33.58,4.26,2,2.34,0.08,55.6,0.99,30.37,0.69
11,8,1994,BEAL,PH,8,36.66,7.32,4,2.28,0.05,56.81,0.87,30.08,0.36
12,11,1994,BEAL,PH,8,34.63,7.08,4,2.31,0.04,57.86,0.61,29.21,0.31
1,8,1989,BEAL,PL,4,76.16,2.5,2,1.7,0.04,40.86,1.05,36.29,0.54
2,11,1989,BEAL,PL,4,56.16,2.24,2,1.83,0.07,47.08,1.04,33.28,0.25
3,8,1990,BEAL,PL,4,53.29,2.87,2,1.91,0.02,49.21,0.54,32.46,0.69
4,11,1990,BEAL,PL,4,46.98,2.16,2,2.01,0.03,49.69,0.91,32.25,0.35
5,8,1991,BEAL,PL,4,39.09,3.4,2,2.14,0.06,51.64,0.5,31.95,0.13
6,11,1991,BEAL,PL,4,39.38,5.47,2,2.38,0.07,49.58,0.53,31.82,0.33
7,8,1992,BEAL,PL,4,30.6,6.69,2,2.26,0.01,53.7,0.72,30.97,0.47
8,11,1992,BEAL,PL,4,31.91,7.3,2,2.26,0.04,54.49,0.51,31.04,0.01
9,8,1993,BEAL,PL,4,27.29,11.36,2,2.31,0.02,54.77,0.69,30.3,0.05
10,11,1993,BEAL,PL,4,21.72,7.02,2,2.29,0.06,54.38,0.62,29.82,0.1
11,8,1994,BEAL,PL,8,28.3,5.15,4,2.28,0.07,56.1,0.3,29.89,0.22
12,11,1994,BEAL,PL,8,19.08,3.85,4,2.21,0.06,56.47,1.26,29.1,0.61
1,8,1989,PIRE,HC,4,82.24,0.93,2,0.62,0.02,40.39,0.32,40.62,0
2,11,1989,PIRE,HC,4,76.1,2.65,2,0.7,0.02,41.34,0.35,40.55,0.65
3,8,1990,PIRE,HC,4,69.49,2.31,2,0.8,0.08,40.48,0.36,42.34,0.37
4,11,1990,PIRE,HC,4,60.69,11.02,2,1.04,0.13,42.5,1.77,40.1,0.08
5,8,1991,PIRE,HC,4,51.18,1.99,2,1.11,0.04,37.38,1.65,40.96,0.45
6,11,1991,PIRE,HC,4,40.41,3.71,2,1.31,0.04,39.57,3.01,37.87,0.13
7,8,1992,PIRE,HC,3,44.32,11.66,2,1.34,0,45.56,0,38,0
8,11,1992,PIRE,HC,4,33.24,7.33,2,1.36,0.1,42.97,0.7,37.29,0.9
9,8,1993,PIRE,HC,4,36.21,8.27,2,1.51,0.13,45.65,0.78,35.65,1.46
10,11,1993,PIRE,HC,4,37.44,5.04,2,1.51,0.03,48.02,1.3,34.2,0.65
11,8,1994,PIRE,HC,8,31.69,7.68,4,1.66,0.07,43.69,5.01,35.22,0.93
12,11,1994,PIRE,HC,8,22.41,6.59,4,1.64,0.04,48.39,2.68,34.31,1.3
1,8,1989,PIRE,HH,4,86.78,0.71,2,0.68,0.02,40.56,0.28,39.5,0.2
2,11,1989,PIRE,HH,4,78.07,2.57,2,0.74,0.01,42.1,0.23,39.44,0.03
3,8,1990,PIRE,HH,4,68.99,0.85,2,0.96,0.02,44.77,0.08,39.33,0.27
4,11,1990,PIRE,HH,4,64.56,1.07,2,1.03,0.02,46.2,0.31,38.34,0.02
5,8,1991,PIRE,HH,4,62.45,3.94,2,1.21,0.12,43.34,2.25,38.48,0.01
6,11,1991,PIRE,HH,4,63.16,3.03,2,1.15,0.05,47.2,0.1,38.16,0.48
7,8,1992,PIRE,HH,4,50.56,9.75,2,1.36,0.03,47.9,0.88,36.15,1.61
8,11,1992,PIRE,HH,4,59.99,3.94,2,1.26,0.13,48.29,0.16,36.51,1.06
9,8,1993,PIRE,HH,4,53.27,12.48,2,1.45,0.05,48.18,1.81,35.27,0.64
10,11,1993,PIRE,HH,4,55.67,5.74,2,1.42,0.08,51.42,0.4,33.38,1.22
11,8,1994,PIRE,HH,8,44.49,11.3,4,1.45,0.08,52.66,0.62,32.24,1.48
12,11,1994,PIRE,HH,8,49.73,4.64,4,1.4,0.04,52.71,0.07,32.29,0.71
1,8,1989,PIRE,HL,4,85.9,1.21,2,0.66,0.02,39.97,0.27,40.65,0.08
2,11,1989,PIRE,HL,4,74.7,2.51,2,0.88,0.03,41.57,1.58,39.76,0.16
3,8,1990,PIRE,HL,4,71.77,2.07,2,0.87,0.07,42.53,0.69,40.48,0.51
4,11,1990,PIRE,HL,4,62.84,2.81,2,1.17,0.03,44.06,0.72,38.49,0.05
5,8,1991,PIRE,HL,4,55.95,2.77,2,1.2,0.08,42.84,2.68,38.1,0.38
6,11,1991,PIRE,HL,4,54.61,3.06,2,1.37,0.1,46.61,0.28,36.98,0.1
7,8,1992,PIRE,HL,4,53.1,5.48,2,1.44,0.03,44.67,3.21,36.47,0.2
8,11,1992,PIRE,HL,4,47.14,11.43,2,1.45,0.01,47.41,1.35,36.53,0.18
9,8,1993,PIRE,HL,4,37.74,9.49,2,1.67,0.09,46.56,0.78,35.91,0.51
10,11,1993,PIRE,HL,3,38.33,8.17,2,1.52,0.09,48.01,0.12,34.08,1.32
11,8,1994,PIRE,HL,8,43.65,5.07,4,1.58,0.04,49.42,0.51,34.16,0.71
12,11,1994,PIRE,HL,8,40.03,10.59,4,1.57,0.09,52.01,0.67,33.3,0.48
1,8,1989,PIRE,PC,4,85.27,0.27,2,0.62,0.03,40.98,0.12,40.5,0.28
2,11,1989,PIRE,PC,4,73.5,2.28,2,0.82,0.02,38.2,0.73,41.78,0.42
3,8,1990,PIRE,PC,4,63.97,5.35,2,0.99,0.04,38.02,1.52,41.78,0.32
4,11,1990,PIRE,PC,4,50.84,8.95,2,1.11,0.1,39.65,1.03,40.16,0.28
5,8,1991,PIRE,PC,4,46.98,5.05,2,1.15,0.02,42.28,0.59,39.09,0.12
6,11,1991,PIRE,PC,4,38.81,7.77,2,1.23,0.08,45.87,0.42,37.03,0.43
7,8,1992,PIRE,PC,4,34.1,3.35,2,1.35,0.01,44.85,0.23,36.3,0.24
8,11,1992,PIRE,PC,4,38.47,7.14,2,1.31,0.05,47.68,0.94,35.99,1.44
9,8,1993,PIRE,PC,4,33.12,6.72,2,1.33,0,49.79,0.63,34.88,0.12
10,11,1993,PIRE,PC,4,26.39,2.23,2,1.59,0.03,47.79,1.3,33.16,0.61
11,8,1994,PIRE,PC,8,23.55,3.78,4,1.53,0.04,50.72,1.53,33.77,0.96
12,11,1994,PIRE,PC,8,21.31,2.89,4,1.61,0.05,51.78,0.57,33.03,0.32
1,8,1989,PIRE,PH,4,83.58,1.68,2,0.6,0.02,41.23,0.44,39.75,0.07
2,11,1989,PIRE,PH,4,74.75,1.21,2,0.74,0.01,40.26,0.23,40.75,0.03
3,8,1990,PIRE,PH,4,62.5,1.46,2,1.02,0.02,38.7,0.26,41.1,0.36
4,11,1990,PIRE,PH,4,59.15,5.11,2,1.07,0.04,42.55,0.16,39.48,0
5,8,1991,PIRE,PH,4,55.98,4.47,2,1.19,0.03,45.39,0.61,37.51,0.1
6,11,1991,PIRE,PH,4,50.16,8.93,2,1.23,0.09,47.85,1.13,36.74,1.17
7,8,1992,PIRE,PH,4,38.3,2.58,2,1.54,0.06,45.52,0.81,35.61,0.17
8,11,1992,PIRE,PH,4,36.28,5.23,2,1.4,0.06,48.76,1.88,35.21,0.37
