year,treat,species,n,av.n,sd.n,av.lig,sd.lig,av.cel,sd.cel
1993,HH,QUVE,4,2.74,0.21,26.29,1.31,42.27,1.33
1993,HL,ACRU,4,1.75,0.09,18.53,0.38,36.23,1.01
1993,HL,BELE,4,2.48,0.09,22.71,0.88,40.8,0.98
1993,HL,QUVE,4,2.34,0.05,24.26,1.99,41.34,2.24
1993,HNS,ACRU,4,1.89,0.05,19.03,0.45,34.02,1.46
1993,HNS,BELE,4,2.39,0.05,22.89,0.84,39.99,0.8
1993,HNS,QUVE,4,2.32,0.14,24.15,1.58,41.67,1.43
1993,PC,PIRE,5,1.026,0.042,24.572,1.289,41.01,0.735
1993,PH,PIRE,5,1.712,0.186,25.792,2.317,43.868,1.177
1993,PL,PIRE,5,1.338,0.054,26.23,1.386,44.77,1.486
1993,PNS,PIRE,5,1.29,0.175,26.562,0.958,43.724,1.783
1994,HC,ACRU,4,1.78,0.1,19.49,1.3,32.26,0.77
1994,HC,BELE,4,2.29,0.08,23.44,1.05,41.35,1.15
1994,HC,QUVE,4,2.26,0.18,24.63,1.62,41.72,1.97
1994,HH,ACRU,4,2.06,0.13,21.1,0.44,35.09,1.1
1994,HH,BELE,4,2.76,0.03,23.74,0.71,41.46,0.39
1994,HH,QUVE,4,2.79,0.2,25.7,2.3,41.3,1.33
1994,HL,ACRU,4,1.85,0.04,20.13,0.55,35.4,0.78
1994,HL,BELE,4,2.47,0.07,23.87,0.4,39.95,1.27
1994,HL,QUVE,4,2.46,0.06,23.41,0.66,43.38,0.75
1994,HNS,ACRU,4,2,0.07,20.21,0.67,33.36,1.31
1994,HNS,BELE,4,2.41,0.07,23.51,0.56,39.63,0.95
1994,HNS,QUVE,4,2.42,0.11,23.93,1.47,42.36,1.45
1994,PC,PIRE,5,1.286,0.053,27.478,0.667,40.562,0.783
1994,PH,PIRE,5,1.808,0.253,24.892,2.206,45.488,2.537
1994,PL,PIRE,5,1.572,0.091,27.214,1.794,42.002,2.698
1994,PNS,PIRE,5,1.41,0.189,27.434,1.586,43.562,1.687
1995,HC,ACRU,4,1.65,0.06,19.83,0.95,35.03,1.4
1995,HC,BELE,4,2.2,0.03,22.36,0.36,40.67,1.27
1995,HC,QUVE,4,2.25,0.11,24.44,1.14,43.8,0.58
1995,HH,ACRU,4,2.09,0.11,21.4,0.52,36.16,0.87
1995,HH,BELE,4,2.75,0.21,23.46,0.52,42.99,1.06
1995,HH,QUVE,4,2.75,0.38,26.9,2.31,41.52,0.6
1995,HL,ACRU,4,1.86,0.19,20.77,0.89,35.84,1.39
1995,HL,BELE,4,2.47,0.07,23.05,0.81,40.65,1.69
1995,HL,QUVE,4,2.32,0.06,23.54,0.54,43.71,0.49
1995,HNS,ACRU,4,1.88,0.04,20.63,0.35,33.61,1.2
1995,HNS,BELE,4,2.31,0.04,23.27,0.57,39.25,0.67
1995,HNS,QUVE,4,2.24,0.08,24.84,0.46,42.14,0.63
1995,PC,PIRE,5,1.152,0.099,25.914,1.457,38.14,2.961
1995,PH,PIRE,5,1.9,0.088,23.39,1.482,42.742,2.34
1995,PL,PIRE,5,1.438,0.074,24.634,1.492,42.112,1.671
1995,PNS,PIRE,5,1.488,0.121,26.23,2.284,41.112,1.669
1996,HC,ACRU,3,1.74,0.18,19.64,0.34,35.75,0.49
1996,HC,BELE,4,2.48,0.1,23.82,0.89,41.42,1.63
1996,HC,QUVE,4,2.58,0.08,25.98,0.78,45.11,0.57
1996,HH,ACRU,4,2.1,0.22,21.41,1.2,34.28,1.51
1996,HH,BELE,4,3.07,0.23,24.49,1.67,40.34,1.4
1996,HH,QUVE,4,2.91,0.15,27.93,0.29,41.5,1.08
1996,HL,ACRU,4,1.99,0.26,19.5,1.05,34.37,1.31
1996,HL,BELE,4,2.69,0.09,23.4,0.09,41.81,0.81
1996,HL,QUVE,4,2.72,0.14,27.03,0.62,43.93,1.55
1996,HNS,ACRU,4,2.02,0.05,20.35,0.72,33.18,1.91
1996,HNS,BELE,4,2.63,0.05,23.58,0.76,40.75,1.82
1996,HNS,QUVE,4,2.66,0.16,26.82,0.71,43.18,1.94
1996,PC,PIRE,5,1.226,0.065,25.578,0.652,41.207,0.839
1996,PH,PIRE,5,2.197,0.148,24.011,3.136,45.379,2.28
1996,PL,PIRE,5,1.66,0.087,26.57,0.89,43.377,0.556
1996,PNS,PIRE,5,1.589,0.113,23.108,1.994,46.12,1.155
1997,HC,ACRU,4,1.72,0.17,19.4,0.46,33.22,1.3
1997,HC,BELE,4,2.35,0.1,21.41,1.39,39.28,1.06
1997,HC,QUVE,4,2.27,0.05,24.63,0.47,40.46,0.88
1997,HH,ACRU,4,2.2,0.14,21.05,0.36,34.1,0.45
1997,HH,BELE,1,2.82,NA,22.3,NA,38.4,NA
1997,HH,QUVE,4,2.81,0.1,24.17,0.85,38.99,1.13
1997,HL,ACRU,4,1.84,0.13,20.02,0.78,35.04,0.99
1997,HL,BELE,4,2.65,0.13,21.34,1.06,40.18,0.68
1997,HL,QUVE,4,2.5,0.21,22.55,0.59,41.34,0.62
1997,HNS,ACRU,4,1.93,0.12,18.94,1.06,32.54,1.08
1997,HNS,BELE,4,2.55,0.1,22.24,0.6,37.27,0.81
1997,HNS,QUVE,4,2.41,0.08,23.47,0.98,39.92,1.75
1997,PC,PIRE,4,1.015,0.075,22.963,0.486,39.278,0.633
1997,PH,PIRE,4,1.905,0.194,19.868,2.36,42.203,1.048
1997,PL,PIRE,4,1.405,0.121,22.39,1.546,41.128,0.616
1997,PNS,PIRE,4,1.475,0.068,23.883,1.443,41.83,1.451
1998,HC,ACRU,4,1.67,0.1,19.03,1.07,32.06,1.42
1998,HC,BELE,4,2.35,0.06,22.65,0.72,39.38,0.81
1998,HC,QUVE,4,2.2,0.1,28,1.14,39.41,0.41
1998,HH,ACRU,4,2.35,0.18,20.83,0.76,33.82,1.44
1998,HH,QUVE,4,2.89,0.23,28.85,1.27,38.75,0.82
1998,HL,ACRU,4,1.88,0.09,20.49,0.77,32.56,1.03
1998,HL,BELE,4,2.71,0.19,22.26,0.9,41.07,0.28
1998,HL,QUVE,4,2.54,0.09,27.76,0.82,40.83,0.44
1998,HNS,ACRU,4,1.95,0.11,18.99,0.41,30.36,0.98
1998,HNS,BELE,4,2.59,0.13,23.99,0.24,38.14,1.28
1998,HNS,QUVE,4,2.43,0.09,26.85,2.31,39.99,1
1998,PC,PIRE,5,1.038,0.004,26.29,1.023,42.482,2.032
1998,PH,PIRE,4,1.83,0.216,25.243,0.572,45.008,0.463
1998,PL,PIRE,5,1.462,0.168,25.424,0.657,45.802,1.969
1998,PNS,PIRE,5,1.546,0.342,24.962,0.964,46.728,0.781
1999,HC,ACRU,4,1.9,0.42,18.02,0.78,38.83,6.75
