plant.species
Acer pensylvanicum                            
Acer rubrum                                   
Acer saccharum                                
Acer spicatum                                 
Actaea pachypoda                              
Agrostis sp.                                  
Alnus sp.                                     
Amelanchier sp.                               
Amphicarpa bracteata                          
Anemone quinquefolia                          
Apios americana                               
Apocynum androsaemifolium                     
Aralia nudicaulis                             
Aralia spinosa
Arisaema triphyllum                           
Aronia sp.                                    
Asclepias exaltata                            
Asclepias sp.                                 
Aster acuminatus                              
Aster divaricatus                             
Aster lateriflorus                            
Aster macrophyllous                           
Aster sp.                                     
Athyrium felix-femina                         
Athyrium thelypteroides                       
Berberis thunbergii                           
Betula alleghaniensis                         
Betula lenta                                  
Betula papyrifera                             
Betula populifolia                            
Bidens sp.                                    
Botrychium multifidum                         
Brachyelytrum erectum                         
Calamagrostis canadensis                      
Calla palustris                               
Carex brunescens                              
Carex canescens                               
Carex crinita/gynandra                        
Carex debilis                                 
Carex disperma                                
Carex folliculata                             
Carex gracillima                              
Carex intumescens                             
Carex laxiflorae sp.                          
Carex lupalina                                
Carex lurida                                  
Carex ovales sp.                              
Carex pensylvanica                            
Carex sp.                                     
Carex stellulatae sp. (interior/echinata)     
Carex stricta                                 
Carex swanii                                  
Carex trisperma                               
Carex virescens                               
Castanea dentata                              
Celastrus sp.                                 
cf Muhlenbergia sp.                           
Chelone glabra                                
Chimaphila umbellata                          
Circaea quadrisulcata                         
Clethra alnifolia                             
Clintonia borealis                            
Composite sp.                                 
Comptonia peregrina                           
Coptis groenlandica                           
Corallorhiza maculata                         
Cornus alternifolia                           
Cornus canadensis                             
Cornus rugosa                                 
Cornus stolonifera                            
Corylus cornuta                               
Crataegus sp.                                 
Cypripedium acaule                            
Dalibarda repens                              
Danthonia spicata                             
Dennstaedtia punctilobula                     
Desmodium sp.                                 
Diervilla lonicera                            
Dryopteris cristata                           
Dryopteris marginalis                         
Dryopteris spinulosa                          
Dryopteris thelypteris                        
Epifagus virginiana                           
Epigaea repens                                
Epipactis helleborine                         
Equisetum sp.                                 
Euonymous alatus                              
Eupatorium rugosa                             
Eupatorium sp.                                
Fagus grandifolia                             
Fragaria sp.                                  
Fraxinus americana                            
Fraxinus nigra                                
Galium sp.                                    
Gaultheria procumbens                         
Gaylussacia baccata                           
Geranium robertianum                          
Glyceria striata                              
Goodyera pubescens                            
Goodyera tesselata                            
Grass sp.                                     
Habenaria fimbriata                           
Habenaria lacera                              
Hamamelis virginiana                          
Hieracium paniculatum                         
Hydrocotyl americana                          
Hypericum canadense                           
Hypericum mutilum                             
Ilex verticillata                             
Impatiens capensis                            
Iris sp.                                      
Juncus effusus                                
Juncus tenuis                                 
Juniperus communis                            
Juniperus virginiana
Kalmia angustifolia                           
Kalmia latifolia                              
Larix sp.                                     
Leersia oryzoides                             
Lilium philadelphicum                         
Lindera benzoin                               
Lonicera canadensis                           
Lonicera escape sp.                           
Luzula multiflora                             
Lycopodium annotinum                          
Lycopodium clavatum                           
Lycopodium complanatum                        
Lycopodium lucidulum                          
Lycopodium obscurum                           
Lycopus uniflora                              
Lyonia ligustrina                             
Lysimachia quadrifolia                        
Lysimachia terrestris                         
Maianthemum canadense                         
Malus sp.
Medeola virginiana                            
Melampyrum lineare                            
Mitchella repens                              
Monotropa hypopithys                          
Monotropa uniflora                            
Nemopanthus mucronata                         
Nyssa sylvatica                               
Onoclea sensibilis                            
Oryzopsis asperifolia                         
Osmunda cinnamomea                            
Osmunda claytoniana                           
Osmunda regalis                               
Ostrya virginiana                             
Oxalis europea                                
Oxalis montana                                
Panax trifolia                                
Panicum boreale                               
Panicum sp.                                   
Parthenocissus quinquefolia                   
Phellodendron sp.
Picea rubens                                  
Picea sp.
Picea sp.                                     
Pilea pumila                                  
Pinus resinosa                                
Pinus strobus                                 
Pinus sylvestris
Poa sp.                                       
Polygonatum pubescens                         
Polygonum cilinode                            
Polygonum sagittatum                          
Polygonum sp.                                 
Polypodium vulgare                            
Polystichum acrosticoides                     
Populus grandidentata                         
Populus tremuloides                           
Potentilla simplex                            
Prenanthes sp.                                
Prunus pensylvanica                           
Prunus serotina                               
Prunus virginiana                             
Pteridium aquilinum                           
Pyrola sp.                                    
Quercus alba                                  
Quercus rubra                                 
Rhamnus cathartica                            
Rhododendron sp.                              
Rhododendron viscosum                         
Rhus copallina                                
Rhus radicans                                 
Rhus typhina                                  
Rubus allegeniensis                           
Rubus idaeus                                  
Rubus pubescens                               
Rubus sp. 1                                   
Sambucus pubens                               
Scutellaria lateriflora                       
Senecio aureus                                
Smilacina racemosa                            
Smilax sp.                                    
Solanum dulcamara                             
Solidago rugosa                               
Solidago sp.                                  
Sorbus americana                              
Spiraea latifolia                             
Symplocarpus foetidus                         
Taxus canadensis                              
Thalictrum polygamum                          
Thelypteris noveboracensis                    
Thelypteris phegopteris                       
Thelypteris simulata                          
Thuja occidentalis                            
Tilia americana                               
Toxicodendron vernix                          
Trientalis borealis                           
Trillium undulatum                            
Tsuga canadensis                              
Typha latifolia                               
Ulmus sp.                                     
Unknown sp.                                   
Uvularia sessilifolia                         
Vaccinium angustifolium                       
Vaccinium corymbosum                          
Vaccinium vacillans                           
Viburnum acerifolium                          
Viburnum alnifolium                           
Viburnum cassinoides                          
Viburnum dentatum (= V. recognitum)           
Viola sp.                                     
Vitis sp.
