species,year,x,y,group,notes
Lonicera spp,2005,730604,4713165,4,close to stone wall along road
Lonicera spp,2005,730602,4713122,4,close to stone wall along road
Lonicera spp,2005,730599,4713135,4,close to stone wall along road
Lonicera spp,2005,730494,4713387,4,close to stone wall. several individuals
Lonicera spp,2005,730818,4713864,4,
Lonicera spp,2005,731721,4714756,5,one large plant
Lonicera spp,2005,731720,4714770,5,two plants
Lonicera spp,2005,731765,4714726,5,large group in woods
Lonicera spp,2005,731755,4714764,5,one large plant
Lonicera spp,2005,731747,4714764,5,
Lonicera spp,2005,731718,4714757,5,continuous honeysuckle from previous coordinate
Rhamnus cathartica,2005,730870,4712693,1,1 plant
Rhamnus cathartica,2005,730868,4712713,1,a few plants
Rhamnus cathartica,2005,730909,4712708,1,25 m south
Rhamnus cathartica,2005,730934,4712677,1,25 m south. 1 pla
Rhamnus cathartica,2005,731015,4712786,2,
Rhamnus cathartica,2005,730952,4712764,2,
Rhamnus cathartica,2005,730921,4712737,2,
Rhamnus cathartica,2005,730594,4713068,4,large cluster
