plot,sample.id,species,lat,lon,elev,year,cellulose,cellulose.method,lignin,lignin.method,carbon,carbon.method,hydrogen,hydrogen.method,nitrogen,nitrogen.method
HFR14,92HFS14WB2,BEPA,42.5411,-72.1839,388,1992,34.32,1,24.92,1,50,6,7,6,2.42,1
HFR14,92HFS14WB3,BEPA,42.5411,-72.1839,388,1992,32.94,1,21.69,1,51,6,7,6,2.24,1
HFR14,92HFS14WB4,BEPA,42.5411,-72.1839,388,1992,36.79,1,21.08,1,50,6,7,6,2.36,1
HFR14,92HFS14WB5,BEPA,42.5411,-72.1839,388,1992,36.13,1,20.66,1,50,6,6,6,2.3,1
HFR18,92HFS18WB1,BEPA,42.5368,-72.1758,365,1992,31.98,1,23.2,1,51,6,7,6,2.13,1
HFR18,92HFS18WB2,BEPA,42.5368,-72.1758,365,1992,37.77,1,21.95,1,50,6,6,6,2.64,1
HFR18,92HFS18WB3,BEPA,42.5368,-72.1758,365,1992,37.01,1,23.21,1,50,6,7,6,2.57,1
HFR19,92HFS19WB1,BEPA,42.5352,-72.1761,369,1992,31.5,1,20.71,1,50,6,6,6,2.05,1
HFR19,92HFS19WB2,BEPA,42.5352,-72.1761,369,1992,33.39,1,20.23,1,50,6,6,6,2.15,1
HFR19,92HFS19WB3,BEPA,42.5352,-72.1761,369,1992,34.05,1,21.05,1,51,6,6,6,2.26,1
HFR19,92HFS19WB4,BEPA,42.5352,-72.1761,369,1992,34.45,1,19.31,1,50,6,6,6,2.1,1
HFR19,92HFS19WB5,BEPA,42.5352,-72.1761,369,1992,38.89,1,18.29,1,49,6,6,6,2.59,1
HFR1,92HFS1WB1,BEPA,42.5412,-72.185,382,1992,33.12,1,21.07,1,50,6,7,6,2.15,1
HFR1,92HFS1WB2,BEPA,42.5412,-72.185,382,1992,29.45,1,17.55,1,50,6,6,6,1.69,1
HFR1,92HFS1WB3,BEPA,42.5412,-72.185,382,1992,37.1,1,22.11,1,51,6,7,6,2.54,1
