year,doy,hour,seq.day,pan.ppt,sd.pan,n.obs
2000,100,21:00,100.875,286,31,6
2000,100,22:00,100.9167,326,41,7
2000,100,23:00,100.9583,322,35,5
2000,101,00:00,101,320,38,6
2000,101,01:00,101.0417,313,40,7
2000,101,02:00,101.0833,352,70,5
2000,101,03:00,101.125,318,73,6
2000,101,04:00,101.1667,336,52,7
2000,101,05:00,101.2083,265,59,5
2000,101,06:00,101.25,282,45,6
2000,101,07:00,101.2917,285,35,6
2000,101,15:00,101.625,317,29,4
2000,101,16:00,101.6667,352,26,7
2000,101,17:00,101.7083,377,18,5
2000,101,18:00,101.75,358,32,6
2000,101,19:00,101.7917,384,46,7
2000,101,20:00,101.8333,375,32,5
2000,101,21:00,101.875,311,29,6
2000,101,22:00,101.9167,299,43,7
2000,101,23:00,101.9583,331,44,5
2000,105,13:00,105.5417,526,219,5
2000,105,14:00,105.5833,455,99,5
2000,105,15:00,105.625,702,190,6
2000,105,16:00,105.6667,641,170,7
2000,105,17:00,105.7083,603,219,5
2000,105,18:00,105.75,656,118,6
2000,105,19:00,105.7917,590,113,7
2000,105,20:00,105.8333,375,186,5
2000,105,21:00,105.875,416,164,6
2000,105,22:00,105.9167,541,124,7
2000,105,23:00,105.9583,380,127,5
2000,106,00:00,106,420,24,6
2000,106,01:00,106.0417,388,39,7
2000,106,02:00,106.0833,383,202,5
2000,106,03:00,106.125,367,139,6
2000,106,04:00,106.1667,480,126,7
2000,106,05:00,106.2083,409,25,5
2000,106,06:00,106.25,305,116,6
2000,106,07:00,106.2917,401,41,7
2000,106,08:00,106.3333,400,90,5
2000,106,09:00,106.375,367,74,6
2000,106,10:00,106.4167,421,111,7
2000,106,11:00,106.4583,341,147,5
2000,106,12:00,106.5,322,67,6
2000,106,13:00,106.5417,259,34,7
2000,106,14:00,106.5833,343,118,5
2000,106,15:00,106.625,311,37,6
2000,106,16:00,106.6667,232,28,7
2000,106,17:00,106.7083,317,91,5
2000,106,18:00,106.75,236,54,6
2000,106,19:00,106.7917,214,25,7
2000,106,20:00,106.8333,219,64,5
2000,106,21:00,106.875,202,65,6
2000,106,22:00,106.9167,214,41,7
2000,106,23:00,106.9583,196,60,5
2000,107,00:00,107,167,42,6
2000,107,01:00,107.0417,159,92,7
2000,107,02:00,107.0833,146,59,5
2000,107,03:00,107.125,71,44,6
2000,107,04:00,107.1667,89,80,7
2000,107,05:00,107.2083,89,76,5
2000,107,06:00,107.25,114,39,6
2000,107,07:00,107.2917,91,92,7
2000,107,08:00,107.3333,166,60,5
2000,107,09:00,107.375,351,38,6
2000,107,10:00,107.4167,447,106,7
2000,107,11:00,107.4583,674,65,5
2000,107,12:00,107.5,715,35,6
2000,107,13:00,107.5417,671,36,7
2000,107,14:00,107.5833,675,40,5
2000,107,15:00,107.625,644,39,6
2000,107,16:00,107.6667,670,65,7
2000,107,17:00,107.7083,691,92,5
2000,107,18:00,107.75,515,53,6
2000,107,19:00,107.7917,464,130,7
2000,107,20:00,107.8333,338,63,5
2000,107,21:00,107.875,270,97,6
2000,107,22:00,107.9167,285,141,7
2000,107,23:00,107.9583,294,15,5
2000,108,00:00,108,303,40,6
2000,108,01:00,108.0417,322,66,7
2000,108,02:00,108.0833,279,31,5
2000,108,03:00,108.125,285,26,6
2000,108,04:00,108.1667,327,90,7
2000,108,05:00,108.2083,272,27,5
2000,108,06:00,108.25,317,123,6
2000,108,07:00,108.2917,254,147,7
2000,108,08:00,108.3333,310,9,5
2000,108,09:00,108.375,332,109,6
2000,108,10:00,108.4167,351,14,7
2000,108,11:00,108.4583,459,157,5
2000,108,12:00,108.5,386,150,6
2000,108,13:00,108.5417,343,95,7
2000,108,14:00,108.5833,383,145,5
2000,108,15:00,108.625,385,32,6
2000,108,16:00,108.6667,346,91,7
2000,108,17:00,108.7083,289,93,5
2000,108,18:00,108.75,340,29,6
2000,108,19:00,108.7917,237,136,7
2000,108,20:00,108.8333,278,37,5
2000,108,21:00,108.875,326,159,6
2000,108,22:00,108.9167,270,21,7
2000,108,23:00,108.9583,253,29,5
2000,109,00:00,109,276,10,6
2000,109,01:00,109.0417,265,33,7
2000,109,02:00,109.0833,256,31,5
2000,109,03:00,109.125,263,24,6
2000,109,04:00,109.1667,239,16,7
2000,109,05:00,109.2083,232,23,5
2000,109,06:00,109.25,222,30,6
2000,109,07:00,109.2917,230,47,7
2000,109,08:00,109.3333,248,22,5
2000,109,09:00,109.375,233,15,6
2000,109,10:00,109.4167,269,32,6
2000,109,11:00,109.4583,246,61,5
2000,109,12:00,109.5,322,66,6
2000,109,13:00,109.5417,312,24,7
2000,109,14:00,109.5833,310,53,5
2000,109,15:00,109.625,303,43,6
2000,109,16:00,109.6667,319,37,7
2000,109,17:00,109.7083,317,40,5
2000,109,18:00,109.75,271,39,6
2000,109,19:00,109.7917,225,34,7
2000,109,20:00,109.8333,210,40,5
2000,109,21:00,109.875,207,19,6
2000,109,22:00,109.9167,211,25,7
2000,109,23:00,109.9583,194,38,5
2000,110,00:00,110,199,43,6
2000,110,01:00,110.0417,185,27,7
2000,110,02:00,110.0833,187,35,5
2000,110,03:00,110.125,194,17,6
2000,110,04:00,110.1667,177,46,7
2000,110,05:00,110.2083,172,36,5
2000,110,06:00,110.25,205,14,6
2000,110,07:00,110.2917,218,24,7
2000,110,08:00,110.3333,185,12,5
2000,110,09:00,110.375,193,16,6
2000,110,10:00,110.4167,179,29,7
2000,110,11:00,110.4583,188,39,5
2000,110,12:00,110.5,189,30,6
2000,110,13:00,110.5417,184,28,7
2000,110,14:00,110.5833,163,19,5
2000,110,15:00,110.625,169,13,6
2000,110,16:00,110.6667,145,69,7
2000,110,17:00,110.7083,158,18,5
2000,110,18:00,110.75,159,31,6
2000,110,19:00,110.7917,131,26,7
2000,110,20:00,110.8333,161,14,5
2000,110,21:00,110.875,141,26,6
2000,110,22:00,110.9167,139,41,7
2000,110,23:00,110.9583,128,21,5
2000,111,00:00,111,144,29,6
2000,111,01:00,111.0417,129,16,7
2000,111,02:00,111.0833,122,24,5
2000,111,03:00,111.125,85,51,6
2000,111,04:00,111.1667,102,39,7
2000,111,05:00,111.2083,97,41,5
2000,111,06:00,111.25,105,21,6
2000,111,07:00,111.2917,105,57,7
2000,111,08:00,111.3333,114,105,5
2000,111,09:00,111.375,209,113,6
2000,111,10:00,111.4167,268,105,7
2000,111,11:00,111.4583,249,39,5
2000,111,12:00,111.5,333,102,6
2000,111,13:00,111.5417,364,51,7
2000,111,14:00,111.5833,330,39,5
2000,111,15:00,111.625,344,61,6
2000,111,16:00,111.6667,436,107,7
2000,111,17:00,111.7083,439,32,5
2000,111,18:00,111.75,413,99,6
2000,111,19:00,111.7917,323,107,7
2000,111,20:00,111.8333,296,46,5
2000,111,21:00,111.875,316,51,6
2000,111,22:00,111.9167,295,54,7
2000,111,23:00,111.9583,364,88,5
2000,112,00:00,112,337,76,6
2000,112,01:00,112.0417,350,81,7
2000,112,02:00,112.0833,267,17,5
2000,112,03:00,112.125,336,46,6
2000,112,04:00,112.1667,282,26,7
2000,112,05:00,112.2083,323,47,5
2000,112,06:00,112.25,290,40,6
2000,112,07:00,112.2917,208,36,7
2000,112,08:00,112.3333,214,18,5
2000,112,09:00,112.375,199,30,6
2000,112,10:00,112.4167,228,37,7
2000,112,11:00,112.4583,245,40,5
2000,112,12:00,112.5,238,49,6
2000,112,13:00,112.5417,238,30,7
2000,112,14:00,112.5833,254,24,5
2000,112,15:00,112.625,255,47,6
2000,112,16:00,112.6667,224,26,7
2000,112,17:00,112.7083,202,37,5
2000,112,18:00,112.75,174,34,6
2000,112,19:00,112.7917,156,10,7
2000,112,20:00,112.8333,143,22,5
2000,112,21:00,112.875,144,24,6
2000,112,22:00,112.9167,26,66,7
2000,112,23:00,112.9583,120,39,5
2000,113,00:00,113,122,65,6
2000,113,01:00,113.0417,169,27,7
2000,113,02:00,113.0833,102,76,5
2000,113,03:00,113.125,143,23,6
2000,113,04:00,113.1667,72,98,7
2000,113,05:00,113.2083,93,55,5
2000,113,06:00,113.25,99,45,6
2000,113,07:00,113.2917,93,22,7
2000,113,08:00,113.3333,82,65,5
2000,113,09:00,113.375,70,54,6
2000,113,10:00,113.4167,81,25,7
2000,113,11:00,113.4583,107,74,5
2000,113,12:00,113.5,75,60,6
2000,113,13:00,113.5417,102,39,7
2000,113,14:00,113.5833,57,41,5
2000,113,15:00,113.625,84,72,6
2000,113,16:00,113.6667,86,42,7
2000,113,17:00,113.7083,29,52,5
2000,113,18:00,113.75,79,38,6
2000,113,19:00,113.7917,46,56,7
2000,113,20:00,113.8333,94,32,5
2000,113,21:00,113.875,75,43,6
2000,113,22:00,113.9167,47,49,7
2000,113,23:00,113.9583,36,62,5
2000,114,00:00,114,28,51,5
2000,114,01:00,114.0417,17,40,7
2000,114,02:00,114.0833,65,43,5
2000,114,03:00,114.125,48,53,6
2000,114,04:00,114.1667,30,54,6
2000,114,05:00,114.2083,67,25,5
2000,114,06:00,114.25,33,45,6
2000,114,07:00,114.2917,7,41,7
2000,114,08:00,114.3333,41,38,5
2000,114,09:00,114.375,17,51,6
2000,114,10:00,114.4167,29,40,7
2000,114,11:00,114.4583,44,52,5
2000,114,12:00,114.5,61,27,6
2000,114,13:00,114.5417,37,42,7
2000,114,14:00,114.5833,70,52,5
2000,114,15:00,114.625,161,104,6
2000,114,16:00,114.6667,34,41,7
2000,114,17:00,114.7083,52,66,5
2000,114,18:00,114.75,77,29,6
2000,114,19:00,114.7917,70,50,7
2000,114,20:00,114.8333,52,50,5
2000,114,21:00,114.875,67,27,6
2000,114,22:00,114.9167,43,36,7
2000,114,23:00,114.9583,11,22,5
2000,115,00:00,115,52,46,6
2000,115,01:00,115.0417,116,24,7
2000,115,02:00,115.0833,87,46,5
2000,115,03:00,115.125,110,88,6
2000,115,04:00,115.1667,139,35,7
2000,115,05:00,115.2083,136,26,5
2000,115,06:00,115.25,122,38,6
2000,115,07:00,115.2917,141,38,7
2000,115,08:00,115.3333,192,23,5
2000,115,09:00,115.375,156,55,6
2000,115,10:00,115.4167,176,18,7
2000,115,11:00,115.4583,181,39,5
2000,115,12:00,115.5,240,81,6
2000,115,13:00,115.5417,230,25,7
2000,115,14:00,115.5833,167,108,5
2000,115,15:00,115.625,210,72,6
2000,115,16:00,115.6667,292,38,7
2000,115,17:00,115.7083,279,21,5
2000,115,18:00,115.75,308,10,6
2000,115,19:00,115.7917,271,29,7
2000,115,20:00,115.8333,150,139,5
2000,115,21:00,115.875,222,31,6
2000,115,22:00,115.9167,164,36,7
2000,115,23:00,115.9583,187,29,5
2000,116,00:00,116,153,32,6
2000,116,01:00,116.0417,146,15,7
2000,116,02:00,116.0833,112,13,5
2000,116,03:00,116.125,75,78,6
2000,116,04:00,116.1667,85,69,7
2000,116,05:00,116.2083,120,166,5
2000,116,06:00,116.25,93,185,6
2000,116,07:00,116.2917,136,118,7
2000,116,08:00,116.3333,431,276,5
2000,116,09:00,116.375,235,197,6
2000,116,10:00,116.4167,198,147,5
2000,116,11:00,116.4583,356,83,5
2000,116,12:00,116.5,374,74,6
2000,116,13:00,116.5417,385,140,7
2000,116,14:00,116.5833,364,105,5
2000,116,15:00,116.625,440,111,6
2000,116,16:00,116.6667,590,155,7
2000,116,17:00,116.7083,520,144,5
2000,116,18:00,116.75,518,198,6
2000,116,19:00,116.7917,272,293,7
2000,116,20:00,116.8333,253,215,5
2000,116,21:00,116.875,107,332,6
2000,116,22:00,116.9167,124,143,7
2000,116,23:00,116.9583,149,185,5
2000,117,00:00,117,240,98,6
2000,117,01:00,117.0417,202,269,7
2000,117,02:00,117.0833,9,102,5
2000,117,03:00,117.125,123,135,6
2000,117,04:00,117.1667,101,270,7
2000,117,05:00,117.2083,93,263,5
2000,117,06:00,117.25,47,109,6
2000,117,07:00,117.2917,154,142,7
2000,117,08:00,117.3333,133,239,5
2000,117,09:00,117.375,174,218,6
2000,117,10:00,117.4167,165,132,7
2000,117,11:00,117.4583,214,367,4
2000,117,12:00,117.5,212,175,6
2000,117,13:00,117.5417,170,235,7
2000,117,14:00,117.5833,186,274,5
2000,117,15:00,117.625,229,187,6
2000,117,16:00,117.6667,203,211,7
2000,117,17:00,117.7083,231,313,5
2000,117,18:00,117.75,234,82,6
2000,117,19:00,117.7917,261,234,7
2000,117,20:00,117.8333,206,301,4
2000,117,21:00,117.875,81,115,5
2000,117,22:00,117.9167,150,167,7
2000,117,23:00,117.9583,176,97,5
2000,118,00:00,118,178,291,6
2000,118,01:00,118.0417,94,183,7
2000,118,02:00,118.0833,130,219,5
2000,118,03:00,118.125,83,227,6
2000,118,04:00,118.1667,140,267,7
2000,118,05:00,118.2083,169,214,5
2000,118,06:00,118.25,38,119,6
2000,118,07:00,118.2917,81,255,7
2000,118,08:00,118.3333,198,317,5
2000,118,09:00,118.375,207,295,5
2000,118,10:00,118.4167,290,234,7
2000,118,11:00,118.4583,224,370,5
2000,118,12:00,118.5,276,177,6
2000,118,13:00,118.5417,339,170,7
2000,118,14:00,118.5833,320,99,5
2000,118,15:00,118.625,244,57,6
2000,118,16:00,118.6667,332,214,7
2000,118,17:00,118.7083,292,99,5
2000,118,18:00,118.75,251,114,6
2000,118,19:00,118.7917,141,111,7
2000,118,20:00,118.8333,149,137,5
2000,118,21:00,118.875,185,195,6
2000,118,22:00,118.9167,262,50,7
2000,118,23:00,118.9583,109,204,5
2000,119,00:00,119,93,104,6
2000,119,01:00,119.0417,72,172,6
2000,119,02:00,119.0833,97,128,5
2000,119,03:00,119.125,342,200,6
2000,119,04:00,119.1667,345,95,7
2000,119,05:00,119.2083,369,32,5
2000,119,06:00,119.25,512,226,6
2000,119,07:00,119.2917,413,205,7
2000,119,08:00,119.3333,299,138,5
2000,119,09:00,119.375,297,52,6
2000,119,10:00,119.4167,316,40,7
2000,119,11:00,119.4583,389,47,5
2000,119,12:00,119.5,443,95,6
2000,119,13:00,119.5417,353,37,7
2000,119,14:00,119.5833,408,98,5
2000,119,15:00,119.625,424,35,6
2000,119,16:00,119.6667,416,64,7
2000,119,17:00,119.7083,352,72,5
2000,119,18:00,119.75,298,70,6
2000,119,19:00,119.7917,250,54,7
2000,119,20:00,119.8333,269,77,5
2000,119,21:00,119.875,212,76,6
2000,119,22:00,119.9167,181,81,7
2000,119,23:00,119.9583,143,40,5
2000,120,00:00,120,166,47,6
2000,120,01:00,120.0417,113,78,7
2000,120,02:00,120.0833,234,60,5
2000,120,03:00,120.125,265,58,6
2000,120,04:00,120.1667,261,46,7
2000,120,05:00,120.2083,252,43,5
2000,120,06:00,120.25,327,39,6
2000,120,07:00,120.2917,286,47,7
2000,120,08:00,120.3333,327,44,5
2000,120,09:00,120.375,291,105,6
2000,120,10:00,120.4167,331,64,7
2000,120,11:00,120.4583,338,110,5
2000,120,12:00,120.5,353,77,6
2000,120,13:00,120.5417,485,111,7
2000,120,14:00,120.5833,559,122,5
2000,120,15:00,120.625,450,61,6
2000,120,16:00,120.6667,459,65,7
2000,120,17:00,120.7083,467,112,5
2000,120,18:00,120.75,523,193,6
2000,120,19:00,120.7917,589,78,7
2000,120,20:00,120.8333,533,74,5
2000,120,21:00,120.875,568,48,6
2000,120,22:00,120.9167,555,136,7
2000,120,23:00,120.9583,606,126,5
2000,121,00:00,121,530,52,6
2000,121,01:00,121.0417,542,45,7
2000,121,02:00,121.0833,463,44,5
2000,121,03:00,121.125,340,48,6
2000,121,04:00,121.1667,197,79,7
2000,121,05:00,121.2083,158,48,5
2000,121,06:00,121.25,171,35,6
2000,121,07:00,121.2917,189,43,7
2000,121,08:00,121.3333,198,23,5
2000,121,09:00,121.375,204,32,6
2000,121,10:00,121.4167,213,118,7
2000,121,11:00,121.4583,267,117,5
2000,121,12:00,121.5,300,91,6
2000,121,13:00,121.5417,212,101,7
2000,121,14:00,121.5833,277,149,5
2000,121,15:00,121.625,246,95,6
2000,121,16:00,121.6667,254,87,7
2000,121,17:00,121.7083,307,42,5
2000,121,18:00,121.75,325,53,6
2000,121,19:00,121.7917,268,57,7
2000,121,20:00,121.8333,260,51,5
2000,121,21:00,121.875,242,48,6
2000,121,22:00,121.9167,198,58,7
2000,121,23:00,121.9583,104,77,5
2000,122,00:00,122,211,45,6
2000,122,01:00,122.0417,174,35,7
2000,122,02:00,122.0833,188,25,5
2000,122,03:00,122.125,177,33,6
2000,122,04:00,122.1667,141,77,7
2000,122,05:00,122.2083,162,37,5
2000,122,06:00,122.25,168,71,6
2000,122,07:00,122.2917,271,66,7
2000,122,08:00,122.3333,340,55,5
2000,122,09:00,122.375,347,22,6
2000,122,10:00,122.4167,444,50,7
2000,122,11:00,122.4583,343,56,5
2000,122,12:00,122.5,493,94,6
2000,122,13:00,122.5417,457,93,7
2000,122,14:00,122.5833,456,86,5
2000,122,15:00,122.625,564,119,6
2000,122,16:00,122.6667,580,66,7
2000,122,17:00,122.7083,610,74,5
2000,122,18:00,122.75,565,54,6
2000,122,19:00,122.7917,559,125,7
2000,122,20:00,122.8333,487,55,5
2000,122,21:00,122.875,517,46,6
2000,122,22:00,122.9167,510,110,7
2000,122,23:00,122.9583,439,60,5
2000,123,00:00,123,401,33,6
2000,123,01:00,123.0417,429,61,7
2000,123,02:00,123.0833,316,72,5
2000,123,03:00,123.125,355,56,6
2000,123,04:00,123.1667,320,51,7
2000,123,05:00,123.2083,334,73,5
2000,123,06:00,123.25,336,58,6
2000,123,07:00,123.2917,345,64,7
2000,123,08:00,123.3333,361,NA,2
2000,123,09:00,123.375,414,126,6
2000,123,10:00,123.4167,541,112,6
2000,123,11:00,123.4583,510,69,5
2000,123,12:00,123.5,487,90,6
2000,123,13:00,123.5417,452,114,7
2000,123,14:00,123.5833,475,117,5
2000,123,15:00,123.625,439,127,6
2000,123,16:00,123.6667,503,95,7
2000,123,17:00,123.7083,510,158,5
2000,123,18:00,123.75,528,94,6
2000,123,19:00,123.7917,508,95,7
2000,123,20:00,123.8333,525,55,5
2000,123,21:00,123.875,549,122,6
2000,123,22:00,123.9167,493,167,7
2000,123,23:00,123.9583,472,136,5
2000,124,00:00,124,481,132,6
2000,124,01:00,124.0417,414,31,7
2000,124,02:00,124.0833,405,69,5
2000,124,03:00,124.125,262,88,6
2000,124,04:00,124.1667,394,92,7
2000,124,05:00,124.2083,393,23,5
2000,124,06:00,124.25,387,58,6
2000,124,07:00,124.2917,394,47,7
2000,124,08:00,124.3333,435,44,5
2000,124,09:00,124.375,409,93,6
2000,124,10:00,124.4167,504,75,7
2000,124,11:00,124.4583,545,184,5
2000,124,12:00,124.5,600,109,6
2000,124,13:00,124.5417,618,107,7
2000,124,14:00,124.5833,632,95,5
2000,124,15:00,124.625,667,157,6
2000,124,16:00,124.6667,827,126,7
2000,124,17:00,124.7083,852,157,5
2000,124,18:00,124.75,803,90,6
2000,124,19:00,124.7917,668,74,7
2000,124,20:00,124.8333,697,178,5
2000,124,21:00,124.875,648,175,6
2000,124,22:00,124.9167,572,94,7
2000,124,23:00,124.9583,463,128,5
2000,125,00:00,125,656,120,6
2000,125,01:00,125.0417,717,172,7
2000,125,02:00,125.0833,538,47,5
2000,125,03:00,125.125,484,54,6
2000,125,04:00,125.1667,374,82,7
2000,125,05:00,125.2083,310,92,5
2000,125,06:00,125.25,403,57,6
2000,125,07:00,125.2917,434,67,7
2000,125,08:00,125.3333,491,64,5
2000,125,09:00,125.375,558,103,6
2000,125,10:00,125.4167,577,80,7
2000,125,11:00,125.4583,783,208,5
2000,125,12:00,125.5,1009,109,6
2000,125,13:00,125.5417,1224,147,7
2000,125,14:00,125.5833,1226,107,5
2000,125,15:00,125.625,1135,78,6
2000,125,16:00,125.6667,1007,188,7
2000,125,17:00,125.7083,741,82,5
2000,125,18:00,125.75,629,156,6
2000,125,19:00,125.7917,512,117,7
2000,125,20:00,125.8333,404,43,5
2000,125,21:00,125.875,441,152,6
2000,125,22:00,125.9167,289,141,7
2000,125,23:00,125.9583,250,171,5
2000,126,00:00,126,257,81,6
2000,126,01:00,126.0417,204,111,7
2000,126,02:00,126.0833,245,108,5
2000,126,03:00,126.125,259,54,6
2000,126,04:00,126.1667,196,79,7
2000,126,05:00,126.2083,243,74,5
2000,126,06:00,126.25,254,118,6
2000,126,07:00,126.2917,361,144,7
2000,126,08:00,126.3333,527,135,5
2000,126,09:00,126.375,700,49,6
2000,126,10:00,126.4167,924,78,7
2000,126,11:00,126.4583,922,33,5
2000,126,12:00,126.5,949,38,6
2000,126,13:00,126.5417,852,113,7
2000,126,14:00,126.5833,715,45,5
2000,126,15:00,126.625,737,125,6
2000,126,16:00,126.6667,705,78,7
2000,126,17:00,126.7083,633,56,5
2000,126,18:00,126.75,615,80,6
2000,126,19:00,126.7917,540,66,7
2000,126,20:00,126.8333,445,85,5
2000,126,21:00,126.875,339,79,6
2000,126,22:00,126.9167,307,119,7
2000,126,23:00,126.9583,325,38,5
2000,127,00:00,127,332,67,6
2000,127,01:00,127.0417,158,60,7
2000,127,02:00,127.0833,245,91,5
2000,127,03:00,127.125,186,75,6
2000,127,04:00,127.1667,220,88,7
2000,127,05:00,127.2083,204,146,5
2000,127,06:00,127.25,471,128,6
2000,127,07:00,127.2917,536,68,7
2000,127,08:00,127.3333,477,63,5
2000,127,09:00,127.375,519,81,6
2000,127,10:00,127.4167,710,82,7
2000,127,11:00,127.4583,704,39,5
2000,127,12:00,127.5,672,66,6
2000,127,13:00,127.5417,893,111,7
2000,127,14:00,127.5833,990,56,5
2000,127,15:00,127.625,956,58,6
2000,127,16:00,127.6667,826,127,7
2000,127,17:00,127.7083,700,149,5
2000,127,18:00,127.75,523,112,6
2000,127,19:00,127.7917,437,109,7
2000,127,20:00,127.8333,373,70,5
2000,127,21:00,127.875,413,135,6
2000,127,22:00,127.9167,321,127,7
2000,127,23:00,127.9583,421,149,5
2000,128,00:00,128,417,62,6
2000,128,01:00,128.0417,397,102,7
2000,128,02:00,128.0833,450,98,5
2000,128,03:00,128.125,683,157,6
2000,128,04:00,128.1667,809,131,7
2000,128,05:00,128.2083,891,101,5
2000,128,06:00,128.25,769,194,6
2000,128,07:00,128.2917,666,80,7
2000,128,08:00,128.3333,655,36,5
2000,128,09:00,128.375,702,56,6
2000,128,10:00,128.4167,628,61,7
2000,128,11:00,128.4583,676,97,5
2000,128,12:00,128.5,572,37,6
2000,128,13:00,128.5417,553,29,7
2000,128,14:00,128.5833,390,45,5
2000,128,15:00,128.625,407,54,6
2000,128,16:00,128.6667,340,81,7
2000,128,17:00,128.7083,247,38,5
2000,128,18:00,128.75,297,31,6
2000,128,19:00,128.7917,270,49,7
2000,128,20:00,128.8333,232,35,5
2000,128,21:00,128.875,246,50,6
2000,128,22:00,128.9167,211,51,7
2000,128,23:00,128.9583,167,65,5
2000,129,00:00,129,258,40,6
2000,129,01:00,129.0417,321,88,7
2000,129,02:00,129.0833,337,64,5
2000,129,03:00,129.125,307,75,6
2000,129,04:00,129.1667,369,137,7
2000,129,05:00,129.2083,332,90,5
2000,129,06:00,129.25,311,54,6
2000,129,07:00,129.2917,471,43,7
2000,129,08:00,129.3333,526,39,5
2000,129,09:00,129.375,550,47,6
2000,129,10:00,129.4167,552,66,7
2000,129,11:00,129.4583,588,52,5
2000,129,12:00,129.5,601,61,6
2000,129,13:00,129.5417,490,25,7
2000,129,14:00,129.5833,522,44,5
2000,129,15:00,129.625,458,23,6
2000,129,16:00,129.6667,445,63,7
2000,129,17:00,129.7083,437,64,5
2000,129,18:00,129.75,394,107,6
2000,129,19:00,129.7917,793,92,7
2000,129,20:00,129.8333,624,53,5
2000,129,21:00,129.875,611,81,6
2000,129,22:00,129.9167,574,74,7
2000,129,23:00,129.9583,390,55,5
2000,130,00:00,130,264,64,6
2000,130,01:00,130.0417,329,74,7
2000,130,02:00,130.0833,444,171,5
2000,130,03:00,130.125,809,226,6
2000,130,04:00,130.1667,884,108,7
2000,130,05:00,130.2083,1010,97,5
2000,130,06:00,130.25,925,118,6
2000,130,07:00,130.2917,848,94,7
2000,130,08:00,130.3333,779,43,5
2000,130,09:00,130.375,936,48,6
2000,130,10:00,130.4167,1100,94,6
2000,130,11:00,130.4583,1094,208,4
2000,130,12:00,130.5,947,222,6
2000,130,13:00,130.5417,678,119,7
2000,130,14:00,130.5833,455,56,5
2000,130,15:00,130.625,506,78,6
2000,130,16:00,130.6667,426,52,7
2000,130,17:00,130.7083,384,48,5
2000,130,18:00,130.75,459,33,6
2000,130,19:00,130.7917,360,66,7
2000,130,20:00,130.8333,326,110,5
2000,130,21:00,130.875,367,62,6
2000,130,22:00,130.9167,220,99,7
2000,130,23:00,130.9583,288,118,5
2000,131,00:00,131,163,130,6
2000,131,01:00,131.0417,184,131,7
2000,131,02:00,131.0833,111,56,5
2000,131,03:00,131.125,111,29,6
2000,131,04:00,131.1667,55,78,7
2000,131,05:00,131.2083,29,39,5
2000,131,06:00,131.25,50,53,6
2000,131,07:00,131.2917,134,46,7
2000,131,08:00,131.3333,40,46,5
2000,131,09:00,131.375,120,53,6
2000,131,10:00,131.4167,129,126,6
2000,131,11:00,131.4583,118,38,5
2000,131,12:00,131.5,155,57,6
2000,131,13:00,131.5417,120,84,7
2000,131,14:00,131.5833,94,126,5
2000,131,15:00,131.625,117,161,6
2000,131,16:00,131.6667,149,65,7
2000,131,17:00,131.7083,83,47,5
2000,131,18:00,131.75,102,87,6
