year,doy,site,plot,spp,wt-g
1998,266,ems,C3,oak,0.462
1998,266,ems,C3,w.oak,0
1998,266,ems,C3,r.maple,5.98
1998,266,ems,C3,str.maple,0
1998,266,ems,C3,beech,0
1998,266,ems,C3,birch,1.2
1998,266,ems,C3,hemlock,0
1998,266,ems,C3,spruce,0
1998,266,ems,C3,r.pine,0
1998,266,ems,C3,w.pine,0.206
1998,266,ems,C3,cherry,0
1998,266,ems,C3,w.hazel,0
1998,266,ems,C3,chestnut,0
1998,266,ems,C3,ash,0.81
1998,266,ems,C3,unknown,0.118
1998,266,ems,C4,oak,0
1998,266,ems,C4,w.oak,0
1998,266,ems,C4,r.maple,1.8
1998,266,ems,C4,str.maple,0
1998,266,ems,C4,beech,2.14
1998,266,ems,C4,birch,0
1998,266,ems,C4,hemlock,0
1998,266,ems,C4,spruce,0
1998,266,ems,C4,r.pine,0
1998,266,ems,C4,w.pine,0
1998,266,ems,C4,cherry,0
1998,266,ems,C4,w.hazel,0
1998,266,ems,C4,chestnut,0
1998,266,ems,C4,ash,0
1998,266,ems,C4,unknown,0
1998,266,ems,C5,oak,0
1998,266,ems,C5,w.oak,0
1998,266,ems,C5,r.maple,6.68
1998,266,ems,C5,str.maple,0.1
1998,266,ems,C5,beech,0
1998,266,ems,C5,birch,3.13
1998,266,ems,C5,hemlock,0
1998,266,ems,C5,spruce,0
1998,266,ems,C5,r.pine,0
1998,266,ems,C5,w.pine,0
1998,266,ems,C5,cherry,0
1998,266,ems,C5,w.hazel,0
1998,266,ems,C5,chestnut,0
1998,266,ems,C5,ash,0
1998,266,ems,C5,unknown,0
1998,266,ems,D1,oak,1.9
1998,266,ems,D1,w.oak,0
1998,266,ems,D1,r.maple,9.2
1998,266,ems,D1,str.maple,0
1998,266,ems,D1,beech,0
1998,266,ems,D1,birch,0
1998,266,ems,D1,hemlock,0
1998,266,ems,D1,spruce,0
1998,266,ems,D1,r.pine,1.86
1998,266,ems,D1,w.pine,0
1998,266,ems,D1,cherry,0
1998,266,ems,D1,w.hazel,0
1998,266,ems,D1,chestnut,0
1998,266,ems,D1,ash,0
1998,266,ems,D1,unknown,0
1998,266,ems,D2,oak,1.25
1998,266,ems,D2,w.oak,0
1998,266,ems,D2,r.maple,0
1998,266,ems,D2,str.maple,0
1998,266,ems,D2,beech,0
1998,266,ems,D2,birch,3.46
1998,266,ems,D2,hemlock,0
1998,266,ems,D2,spruce,0
1998,266,ems,D2,r.pine,0
1998,266,ems,D2,w.pine,0
1998,266,ems,D2,cherry,0
1998,266,ems,D2,w.hazel,0
1998,266,ems,D2,chestnut,0
1998,266,ems,D2,ash,0
1998,266,ems,D2,unknown,0.168
1998,266,ems,D3,oak,0
1998,266,ems,D3,w.oak,0
1998,266,ems,D3,r.maple,7.14
1998,266,ems,D3,str.maple,0
1998,266,ems,D3,beech,0
1998,266,ems,D3,birch,0
1998,266,ems,D3,hemlock,0
1998,266,ems,D3,spruce,0
1998,266,ems,D3,r.pine,0
1998,266,ems,D3,w.pine,0
1998,266,ems,D3,cherry,0
1998,266,ems,D3,w.hazel,0
1998,266,ems,D3,chestnut,0
1998,266,ems,D3,ash,0
1998,266,ems,D3,unknown,0
1998,266,ems,D4,oak,0.347
1998,266,ems,D4,w.oak,0
1998,266,ems,D4,r.maple,3.81
1998,266,ems,D4,str.maple,0.14
1998,266,ems,D4,beech,0
1998,266,ems,D4,birch,0
1998,266,ems,D4,hemlock,0
1998,266,ems,D4,spruce,0
1998,266,ems,D4,r.pine,0
1998,266,ems,D4,w.pine,0
1998,266,ems,D4,cherry,0
1998,266,ems,D4,w.hazel,0
1998,266,ems,D4,chestnut,0
1998,266,ems,D4,ash,21.9
1998,266,ems,D4,unknown,0.32
1998,266,ems,D5,oak,1.53
1998,266,ems,D5,w.oak,0
1998,266,ems,D5,r.maple,5.75
1998,266,ems,D5,str.maple,0
1998,266,ems,D5,beech,0
1998,266,ems,D5,birch,0
1998,266,ems,D5,hemlock,0
1998,266,ems,D5,spruce,0
1998,266,ems,D5,r.pine,0
1998,266,ems,D5,w.pine,0
1998,266,ems,D5,cherry,0
1998,266,ems,D5,w.hazel,0
1998,266,ems,D5,chestnut,0
1998,266,ems,D5,ash,0
1998,266,ems,D5,unknown,0
1998,266,ems,E1,oak,0
1998,266,ems,E1,w.oak,0
1998,266,ems,E1,r.maple,2.51
1998,266,ems,E1,str.maple,0
1998,266,ems,E1,beech,0
1998,266,ems,E1,birch,0
1998,266,ems,E1,hemlock,0
1998,266,ems,E1,spruce,0
1998,266,ems,E1,r.pine,0
1998,266,ems,E1,w.pine,0
1998,266,ems,E1,cherry,0
1998,266,ems,E1,w.hazel,0
1998,266,ems,E1,chestnut,0
1998,266,ems,E1,ash,0
1998,266,ems,E1,unknown,0.016
1998,266,ems,E2,oak,1.51
1998,266,ems,E2,w.oak,0
1998,266,ems,E2,r.maple,0
1998,266,ems,E2,str.maple,0
1998,266,ems,E2,beech,0
1998,266,ems,E2,birch,0.755
1998,266,ems,E2,hemlock,0
1998,266,ems,E2,spruce,0
1998,266,ems,E2,r.pine,8.71
1998,266,ems,E2,w.pine,0
1998,266,ems,E2,cherry,0
1998,266,ems,E2,w.hazel,0
1998,266,ems,E2,chestnut,0
1998,266,ems,E2,ash,0
1998,266,ems,E2,unknown,0.07
1998,266,ems,E3,oak,0
1998,266,ems,E3,w.oak,0
1998,266,ems,E3,r.maple,2.47
1998,266,ems,E3,str.maple,0
1998,266,ems,E3,beech,0
1998,266,ems,E3,birch,0.14
1998,266,ems,E3,hemlock,0
1998,266,ems,E3,spruce,0
1998,266,ems,E3,r.pine,0
1998,266,ems,E3,w.pine,0
1998,266,ems,E3,cherry,0
1998,266,ems,E3,w.hazel,0
1998,266,ems,E3,chestnut,0
1998,266,ems,E3,ash,0
1998,266,ems,E3,unknown,0
1998,266,ems,E4,oak,0
1998,266,ems,E4,w.oak,0
1998,266,ems,E4,r.maple,2.89
1998,266,ems,E4,str.maple,0
