date,tower,height,species,rep,hour,psn,cond,par,lpar,co2,ci,e,ci.ca,tleaf,tair,rh,esleaf,eair,vpd
1991-08-22,1,L,RM,1,10.97,1.61,0.14,32.78,3.49,333.5,308.1,NA,0.92,22.63,23.19,62.06,2.76,2.85,0.99
1991-08-22,1,L,RM,1,12.06,4.05,0.07,470.2,6.15,320,214.03,NA,0.67,26.88,25.98,49.97,3.55,3.37,1.87
1991-08-22,1,L,RM,1,14.2,6.15,0.13,390.94,5.97,313,215.13,NA,0.69,27.79,28.29,44.7,3.75,3.86,2.02
1991-08-22,1,L,RM,1,17.05,1.08,0.02,47.93,3.87,352.87,234.23,NA,0.66,26.07,26.43,55.42,3.39,3.46,1.47
1991-08-22,1,L,RM,1,18.26,0.34,0.02,14.73,2.69,343.97,311.43,NA,0.91,23.73,24,49.16,2.95,2.99,1.48
1991-08-22,1,T,RM,1,9.77,11.36,0.23,1482.33,7.3,321.17,225.7,NA,0.7,26.89,24.81,56.4,3.56,3.14,1.78
1991-08-22,1,T,RM,1,11.83,1.8,0.04,1908.67,7.55,330.5,245.93,NA,0.74,31.79,28.08,50.21,4.72,3.81,2.8
1991-08-22,1,T,RM,1,14.71,9.89,0.21,1493.33,7.31,308.73,210.07,NA,0.68,33.34,32.79,32.17,5.15,4.99,3.54
1991-08-22,1,T,RM,1,16.75,4.06,0.1,162,5.09,310.9,234.4,NA,0.75,27.64,28.38,44.03,3.72,3.88,2.01
1991-08-22,1,T,RM,1,18.6,1.62,0.1,67.9,4.22,353.5,317.53,NA,0.9,23.84,24.79,41.64,2.97,3.14,1.66
1991-08-22,1,L,YB,1,9.62,3.53,0.12,114.76,4.74,349.73,295.47,NA,0.84,20.94,21.02,71.59,2.49,2.5,0.7
1991-08-22,1,L,YB,1,11.63,8.73,0.17,1349.33,7.21,334.33,238.03,NA,0.71,25.74,25.59,57.56,3.32,3.29,1.43
1991-08-22,1,L,YB,1,14.52,-0.07,0.01,47.78,3.87,337.93,336.6,NA,1,26.08,26.06,41.1,3.39,3.39,2
1991-08-22,1,L,YB,1,16.45,1.95,0.1,99.8,4.6,330.73,291.03,NA,0.88,24.9,25.41,51.11,3.16,3.26,1.5
1991-08-22,1,L,YB,1,18.53,-0.5,0.08,4.34,1.47,335.13,339.6,NA,1.01,23.22,23.81,62.38,2.86,2.96,1.01
1991-08-22,1,T,YB,1,10.5,12.84,0.37,1605.67,7.38,337.13,260.23,NA,0.77,29.58,29.08,50.16,4.16,4.04,2.13
1991-08-22,1,T,YB,1,12.13,14.68,0.4,2142,7.67,313.57,230.47,NA,0.73,29.12,26.83,56.46,4.05,3.54,2.05
1991-08-22,1,T,YB,1,14.44,8.45,0.25,1094.33,7,318.4,243.5,NA,0.76,29.92,30.39,34.96,4.24,4.36,2.72
1991-08-22,1,T,YB,1,16.43,10.68,0.31,850.87,6.75,344.1,269.7,NA,0.78,28.56,28.6,50.88,3.92,3.93,1.92
1991-08-22,1,T,YB,1,18.11,4.18,0.23,221.33,5.4,333.47,295.13,NA,0.89,23.79,24.47,57.59,2.96,3.08,1.18
1991-08-22,1,L,OAK,2,10.49,5.17,0.07,144.19,4.97,332.07,208.73,NA,0.63,24.44,22.77,72.17,3.08,2.78,1.07
1991-08-22,1,L,OAK,2,12.4,5.09,0.2,737.77,6.6,337.37,284.23,NA,0.84,25.24,25.76,55.69,3.23,3.33,1.37
1991-08-22,1,L,OAK,2,14.91,2.8,0.1,52.2,3.96,332.67,276.53,NA,0.83,25.41,25.85,50.38,3.26,3.35,1.57
1991-08-22,1,L,OAK,2,16.81,3.71,0.09,190.51,5.25,327.93,250.37,NA,0.76,25.86,26.06,52.66,3.35,3.39,1.56
1991-08-22,1,L,OAK,2,18.8,0.01,0.02,5.03,1.62,334.93,327.63,NA,0.98,23,22.85,62.3,2.82,2.79,1.08
1991-08-22,1,T,OAK,2,10.29,13.39,0.34,351.9,5.86,302.73,219.37,NA,0.72,28.61,27.1,47.66,3.93,3.6,2.22
1991-08-22,1,T,OAK,2,12.47,10.65,0.19,1643.67,7.4,324.4,213.77,NA,0.66,31.08,28.8,52.06,4.53,3.98,2.46
1991-08-22,1,T,OAK,2,14.23,17.32,0.34,1889.33,7.54,325.97,215.3,NA,0.66,32.66,31.16,40.18,4.96,4.55,3.13
1991-08-22,1,T,OAK,2,17.17,12.07,0.25,1223,7.11,315.83,221.33,NA,0.7,27.49,26.95,56.6,3.68,3.57,1.66
1991-08-22,1,T,OAK,2,18.88,0.78,0.03,62.79,4.14,332.73,282.6,NA,0.85,23.5,24.03,57.46,2.91,3,1.18
1991-08-22,1,L,RM,2,11.03,2.24,0.12,57.47,4.05,335.03,297.33,NA,0.89,22.87,23.2,63.25,2.8,2.86,0.99
1991-08-22,1,L,RM,2,12.1,7.79,0.14,138.85,4.93,331.33,224.33,NA,0.68,26.29,25.82,55.6,3.43,3.34,1.58
1991-08-22,1,L,RM,2,14.27,2.43,0.07,54.83,4,327.13,260.63,NA,0.8,26.8,27.34,46.44,3.54,3.65,1.84
1991-08-22,1,L,RM,2,17.1,2.12,0.05,56.16,4.03,346.73,263.83,NA,0.76,25.99,26.24,53.78,3.37,3.42,1.53
1991-08-22,1,L,RM,2,18.31,0.02,0.02,18.24,2.9,360.7,349.53,NA,0.97,24.37,24.48,52.36,3.06,3.08,1.45
1991-08-22,1,T,RM,2,9.84,7.38,0.18,1514.33,7.32,327.73,245.83,NA,0.75,27.53,25.37,55.23,3.69,3.25,1.9
1991-08-22,1,T,RM,2,11.88,8.63,0.15,1947,7.57,288.53,179.37,NA,0.62,32.16,29.01,56.52,4.82,4.02,2.55
1991-08-22,1,T,RM,2,14.81,4.99,0.17,215.67,5.37,312.97,248.7,NA,0.79,30.58,31.54,37.18,4.41,4.65,2.68
1991-08-22,1,T,RM,2,16.81,2.68,0.06,107.89,4.68,360.27,274.97,NA,0.76,27.09,27.74,43.06,3.6,3.74,1.99
1991-08-22,1,T,RM,2,18.65,0.72,0.03,68.36,4.22,340.33,288.9,NA,0.85,24.19,24.97,48.77,3.03,3.18,1.48
1991-08-22,1,L,YB,2,9.82,7.82,0.18,699.33,6.55,333.1,253.4,NA,0.76,22.23,21.62,66.29,2.69,2.59,0.97
1991-08-22,1,L,YB,2,11.67,4.89,0.2,80.78,4.39,327.8,276.9,NA,0.84,25.24,25.71,54.89,3.23,3.32,1.41
1991-08-22,1,L,YB,2,14.58,1.46,0.11,36.39,3.59,330.7,299.33,NA,0.91,25.66,26.59,50.21,3.31,3.49,1.55
