# ppt
 ,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311,eco3021,eco3051,eco3081,eco3111,eco3141,eco3171,eco3201,eco3231,eco3261,eco3311,eco4021,eco4051,eco4081,eco4111,eco4141,eco4171,eco4201,eco4231,eco4261,eco4311,eco6021,eco6051,eco6081,eco6111,eco6141,eco6171,eco6201,eco6231,eco6261,eco6311,eco7021,eco7051,eco7081,eco7111,eco7141,eco7171,eco7201,eco7231,eco7261,eco7311
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2010-11-01T00:00:00Z,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,55.149843229,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,65.261713769,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,50.992829192,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,48.860693428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01T00:00:00Z,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,119.898552356,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,106.187729552,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,120.314072647,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,105.033907887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01T00:00:00Z,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,116.084616902,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,157.930033363,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,82.712970927,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,72.962984585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01T00:00:00Z,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,100.455168239,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,108.435831086,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,93.329489839,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,80.74764606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01T00:00:00Z,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,146.81900167,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,165.954928215,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,100.948350324,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,89.777572679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01T00:00:00Z,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,89.36148094,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,91.824540774,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.151090941,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,84.556500226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01T00:00:00Z,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,70.203924341,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,65.526139152,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,63.907527477,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,65.065073982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01T00:00:00Z,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,35.068402452,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,37.707137146,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,32.295442023,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,45.783470647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01T00:00:00Z,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,74.734267137,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,54.666751194,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,99.451508896,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,114.367899061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01T00:00:00Z,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,74.500268129,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,69.61948419,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,82.349683619,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,99.744200229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
