Time, Ecoregion, Species, TempMult, MinJanTempMult, SoilMoistureMult, OtherAdjustMult, ProbEst
1, eco311, abiebals,0.40,1.00,1.00,1.00,0.40
1, eco311, acerrubr,0.57,1.00,1.00,1.00,0.57
1, eco311, acersacc,1.00,1.00,1.00,1.00,1.00
1, eco311, betualle,0.71,1.00,1.00,1.00,0.71
1, eco311, betulent,1.00,0.00,1.00,1.00,0.00
1, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
1, eco311, betupopu,0.94,1.00,1.00,1.00,0.94
1, eco311, caryglab,0.20,1.00,1.00,1.00,0.20
1, eco311, fagugran,0.65,1.00,1.00,1.00,0.65
1, eco311, fraxamer,0.56,1.00,1.00,1.00,0.56
1, eco311, fraxnigr,0.25,1.00,1.00,1.00,0.25
1, eco311, larilari,0.65,1.00,1.00,1.00,0.65
1, eco311, ostrvirg,0.66,1.00,1.00,1.00,0.66
1, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
1, eco311, picemari,0.00,1.00,1.00,1.00,0.00
1, eco311, picerube,0.90,1.00,1.00,1.00,0.90
1, eco311, pinuresi,0.00,1.00,1.00,1.00,0.00
1, eco311, pinurigi,0.65,1.00,1.00,1.00,0.65
1, eco311, pinustro,1.00,1.00,1.00,1.00,1.00
1, eco311, popubals,0.54,1.00,1.00,1.00,0.54
1, eco311, popugran,1.00,1.00,1.00,1.00,1.00
1, eco311, poputrem,0.55,1.00,1.00,1.00,0.55
1, eco311, prunsero,0.65,1.00,1.00,1.00,0.65
1, eco311, queralba,0.70,1.00,1.00,1.00,0.70
1, eco311, quercocc,0.21,1.00,1.00,1.00,0.21
1, eco311, querprin,0.43,1.00,1.00,1.00,0.43
1, eco311, querrubr,0.86,1.00,1.00,1.00,0.86
1, eco311, quervelu,0.61,1.00,1.00,1.00,0.61
1, eco311, thujocci,0.00,1.00,1.00,1.00,0.00
1, eco311, tiliamer,0.99,1.00,1.00,1.00,0.99
1, eco311, tsugcana,0.93,1.00,1.00,1.00,0.93
1, eco311, ulmuamer,0.56,1.00,1.00,1.00,0.56
2, eco311, abiebals,0.85,1.00,1.00,1.00,0.85
2, eco311, acerrubr,0.38,1.00,1.00,1.00,0.38
2, eco311, acersacc,0.87,1.00,1.00,1.00,0.87
2, eco311, betualle,1.00,1.00,1.00,1.00,1.00
2, eco311, betulent,0.76,0.00,1.00,1.00,0.00
2, eco311, betupapy,0.47,1.00,1.00,1.00,0.47
2, eco311, betupopu,0.98,1.00,1.00,1.00,0.98
2, eco311, caryglab,0.00,1.00,1.00,1.00,0.00
2, eco311, fagugran,0.42,1.00,1.00,1.00,0.42
2, eco311, fraxamer,0.34,1.00,1.00,1.00,0.34
2, eco311, fraxnigr,0.90,1.00,1.00,1.00,0.90
2, eco311, larilari,0.91,1.00,1.00,1.00,0.91
2, eco311, ostrvirg,0.45,1.00,1.00,1.00,0.45
2, eco311, piceglau,0.20,1.00,1.00,1.00,0.20
2, eco311, picemari,0.19,1.00,1.00,1.00,0.19
2, eco311, picerube,1.00,1.00,1.00,1.00,1.00
2, eco311, pinuresi,0.69,1.00,1.00,1.00,0.69
2, eco311, pinurigi,0.00,1.00,1.00,1.00,0.00
2, eco311, pinustro,0.91,1.00,1.00,1.00,0.91
2, eco311, popubals,0.90,1.00,1.00,1.00,0.90
2, eco311, popugran,0.91,1.00,1.00,1.00,0.91
2, eco311, poputrem,0.93,1.00,1.00,1.00,0.93
2, eco311, prunsero,0.45,1.00,1.00,1.00,0.45
2, eco311, queralba,0.49,1.00,1.00,1.00,0.49
2, eco311, quercocc,0.00,1.00,1.00,1.00,0.00
2, eco311, querprin,0.00,1.00,1.00,1.00,0.00
2, eco311, querrubr,0.66,1.00,1.00,1.00,0.66
2, eco311, quervelu,0.33,1.00,1.00,1.00,0.33
2, eco311, thujocci,0.79,1.00,1.00,1.00,0.79
2, eco311, tiliamer,0.74,1.00,1.00,1.00,0.74
2, eco311, tsugcana,0.72,1.00,1.00,1.00,0.72
2, eco311, ulmuamer,0.39,1.00,1.00,1.00,0.39
3, eco311, abiebals,0.55,1.00,1.00,1.00,0.55
3, eco311, acerrubr,0.52,1.00,1.00,1.00,0.52
3, eco311, acersacc,0.99,1.00,1.00,1.00,0.99
3, eco311, betualle,0.84,1.00,1.00,1.00,0.84
3, eco311, betulent,0.97,0.00,1.00,1.00,0.00
3, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
3, eco311, betupopu,0.98,1.00,1.00,1.00,0.98
3, eco311, caryglab,0.13,1.00,1.00,1.00,0.13
3, eco311, fagugran,0.59,1.00,1.00,1.00,0.59
3, eco311, fraxamer,0.51,1.00,1.00,1.00,0.51
3, eco311, fraxnigr,0.48,1.00,1.00,1.00,0.48
3, eco311, larilari,0.73,1.00,1.00,1.00,0.73
3, eco311, ostrvirg,0.61,1.00,1.00,1.00,0.61
3, eco311, piceglau,0.00,1.00,1.00,1.00,0.00
3, eco311, picemari,0.00,1.00,1.00,1.00,0.00
3, eco311, picerube,0.95,1.00,1.00,1.00,0.95
3, eco311, pinuresi,0.00,1.00,1.00,1.00,0.00
3, eco311, pinurigi,0.43,1.00,1.00,1.00,0.43
3, eco311, pinustro,1.00,1.00,1.00,1.00,1.00
3, eco311, popubals,0.67,1.00,1.00,1.00,0.67
3, eco311, popugran,1.00,1.00,1.00,1.00,1.00
3, eco311, poputrem,0.69,1.00,1.00,1.00,0.69
3, eco311, prunsero,0.60,1.00,1.00,1.00,0.60
3, eco311, queralba,0.65,1.00,1.00,1.00,0.65
3, eco311, quercocc,0.07,1.00,1.00,1.00,0.07
3, eco311, querprin,0.29,1.00,1.00,1.00,0.29
3, eco311, querrubr,0.81,1.00,1.00,1.00,0.81
3, eco311, quervelu,0.55,1.00,1.00,1.00,0.55
3, eco311, thujocci,0.18,1.00,1.00,1.00,0.18
3, eco311, tiliamer,0.95,1.00,1.00,1.00,0.95
3, eco311, tsugcana,0.89,1.00,1.00,1.00,0.89
3, eco311, ulmuamer,0.52,1.00,1.00,1.00,0.52
4, eco311, abiebals,0.60,1.00,1.00,1.00,0.60
4, eco311, acerrubr,0.51,1.00,1.00,1.00,0.51
4, eco311, acersacc,0.99,1.00,1.00,1.00,0.99
4, eco311, betualle,0.87,1.00,1.00,1.00,0.87
4, eco311, betulent,0.95,0.00,1.00,1.00,0.00
4, eco311, betupapy,0.00,1.00,1.00,1.00,0.00
4, eco311, betupopu,0.99,1.00,1.00,1.00,0.99
