Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,9,1,betulent,21,649.7,12.8,0.00,0.00,0.39,12.76,3.94,0.10,0.09,1.00,0.27,0.00,0.05,0.46,0.97,1.00,220,19116,100888,662.5,16.5,3.15,1.35,1.48,0.63,0.00,0.03,0.03,2.73,-11.41,0.42,12.76,
1,9,1,betulent,11,290.6,12.8,0.00,0.00,0.17,12.82,3.94,0.10,0.04,1.00,0.20,0.00,0.05,0.46,0.97,1.00,220,19116,100879,303.4,16.5,3.15,1.35,1.48,0.63,0.00,0.03,0.03,2.95,-11.47,0.21,12.82,
1,9,1,fagugran,11,359.0,18.3,0.00,0.00,0.22,18.31,3.94,0.12,0.12,1.00,0.21,0.00,0.05,0.46,0.86,1.00,382,32682,100870,377.3,16.5,5.63,2.41,2.65,1.13,0.00,0.06,0.06,5.36,-15.89,0.27,18.31,
1,10,1,tsugcana,231,8965.6,131.3,49.22,0.72,1.79,3.65,3.23,3.20,3.20,1.00,0.27,0.00,0.78,1.00,0.44,0.55,350,42682,100859,9096.9,4.8,13.38,3.35,6.29,1.57,0.01,0.06,0.07,-37.76,-1.06,51.14,4.40,
1,10,1,tsugcana,101,50085.1,341.0,14.09,0.10,10.02,9.47,3.23,5.77,5.77,1.00,0.27,0.00,0.93,1.00,0.44,0.46,350,42682,100821,50426.1,4.8,41.99,10.50,19.73,4.93,0.01,0.20,0.21,17.46,0.82,24.52,9.67,
1,10,1,pinustro,101,25398.6,211.4,0.03,0.00,5.08,5.87,3.23,6.36,6.36,1.00,0.27,0.00,0.95,1.00,0.02,1.00,350,26504,100839,25610.0,4.8,6.08,1.52,2.86,0.71,0.02,0.02,0.04,0.91,-4.37,5.17,5.89,
1,10,1,pinustro,51,12883.9,221.7,0.00,0.00,2.58,6.16,3.23,5.84,5.84,1.00,0.27,0.00,0.94,1.00,0.02,1.00,350,26504,100835,13105.6,4.8,6.01,1.50,2.83,0.71,0.02,0.02,0.04,3.37,-4.67,2.64,6.17,
1,10,1,fagugran,21,1301.5,7.8,0.00,0.00,0.78,7.77,3.23,0.39,0.40,0.96,0.27,0.02,0.17,1.00,0.07,1.00,382,32682,100834,1309.3,4.8,3.22,1.38,1.51,0.65,0.00,0.04,0.04,2.40,-6.39,0.81,7.77,
1,10,1,betulent,21,652.5,1.4,0.00,0.00,0.39,1.35,3.23,0.10,0.09,0.44,0.25,0.01,0.05,1.00,0.56,1.00,220,19116,100830,653.8,4.8,3.98,1.70,1.87,0.80,0.00,0.04,0.04,3.55,0.35,0.43,1.35,
1,10,1,betulent,11,293.5,1.4,0.00,0.00,0.18,1.35,3.23,0.10,0.04,0.44,0.18,0.01,0.05,1.00,0.56,1.00,220,19116,100834,294.9,4.8,3.98,1.70,1.87,0.80,0.00,0.04,0.04,3.76,0.35,0.22,1.35,
1,10,1,fagugran,11,364.4,2.4,0.00,0.00,0.22,2.41,3.23,0.10,0.12,0.64,0.19,0.01,0.05,1.00,0.07,1.00,382,32682,100839,366.8,4.8,0.89,0.38,0.42,0.18,0.00,0.01,0.01,0.66,-2.04,0.23,2.41,
1,11,1,tsugcana,231,8927.8,130.2,49.01,0.71,1.79,3.62,4.09,3.19,3.19,1.00,0.30,0.00,0.78,1.00,0.33,0.82,350,42682,100838,9058.0,2.0,19.01,4.75,8.94,2.23,0.01,0.09,0.10,-31.97,0.37,50.99,4.38,
1,11,1,tsugcana,101,50102.6,341.8,14.09,0.10,10.02,9.49,4.09,5.77,5.77,1.00,0.30,0.00,0.93,1.00,0.33,0.68,350,42682,100806,50444.4,2.0,47.44,11.86,22.30,5.57,0.01,0.23,0.24,22.86,2.15,24.59,9.71,
1,11,1,pinustro,101,25399.5,207.0,0.03,0.00,5.08,5.75,4.09,6.36,6.36,1.00,0.30,0.00,0.95,1.00,0.01,1.00,350,26504,100831,25606.6,2.0,2.86,0.71,1.34,0.34,0.02,0.00,0.02,-2.28,-5.04,5.14,5.76,
