,Number,Type,Species,DBH,Height,Crown_Radius,Crown_Depth,Crown_Area,Basal_Area
72,72,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
73,73,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
74,74,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
75,75,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
76,76,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
77,77,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
78,78,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
79,79,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
80,80,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
81,81,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
82,82,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
83,83,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
84,84,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
85,85,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
86,86,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
87,87,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
88,88,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
89,89,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
90,90,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
91,91,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
92,92,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
93,93,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
94,94,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
95,95,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
96,96,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
97,97,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
98,98,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
99,99,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
100,100,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
101,101,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
102,102,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
103,103,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
104,104,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
105,105,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
106,106,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
107,107,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
108,108,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
109,109,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
110,110,Sapling,TSCA,9.8,7.428530186,0.98,8.2908,3.015656,0.007542982
111,111,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
112,112,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
113,113,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
114,114,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
